name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets
sheriff;Sheriff;1979;Nintendo;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;n8080.cpp;Mame 0.37b2 (0.38);06/05/2000;Mame 0.195;28/02/2018;0;1;1;1;1;RASTER;270;VERTICAL;256;224;60.000000;double joystick (8-way);CRT 15kHz;8080,I8035;maincpu 8080 @2.16 MHz, audiocpu I8035 @6 MHz;Speaker,1-Bit DAC,TI SN76477 CSG;speaker Speaker, n8080_dac 1-Bit DAC, snsnd TI SN76477 CSG;GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;Shooter / Field;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;-;https://www.youtube.com/watch?v=26xaRbR0tl8;-;0;NO;NO;NO;NO;English;50 to 60 (Not Good Enough);197x;Cocktail, Upright;NO
spiders;Spiders (set 1);1981;Sigma Enterprises Inc.;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;spiders.cpp;Mame 0.33b5;10/06/1998;Mame 0.195;28/02/2018;0;1;1;1;1;RASTER;270;VERTICAL;256;256;85.449219;joystick (2-way);CRT 15kHz;MC6809,M6802;maincpu MC6809 @2.8 MHz, audiocpu M6802 @3 MHz;Speaker,Discrete Sound;mono Speaker, discrete Discrete Sound;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;PRELIMINARY;GOOD;GOOD;-;Shooter / Gallery;Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2P alt;https://archive.org/details/arcade_spiders;https://www.youtube.com/watch?v=4I8tlr4M35w;-;0;NO;NO;NO;NO;English;40 to 50 (Decent);-;Cocktail, Upright;NO
