name;bestcore;mameversion
"kaitein";lr-fbalpha;
"kamenrid";lr-fbalpha;
"kamikcab";lr-mame;
"kangaroo";lr-fbalpha;
"kaos";lr-mame;
"karatblzu";lr-fbalpha;
"karatour";lr-fbalpha;
"karianx";lr-fbalpha;
"karnov";lr-fbalpha;
"kazan";lr-fbalpha;
"kbash";lr-fbalpha;
"kbash2";lr-fbalpha;
"kchamp";lr-fbalpha;
"keithlcy";lr-fbalpha;
"keroppi";lr-fbalpha;
"ket";lr-fbalpha;
"kf2k3pcb";lr-fbalpha;
"kickboy";lr-fbalpha;
"kicker";lr-fbalpha;
"kickgoal";lr-mame;
"kicknrun";lr-mame;
"kickoff";lr-fbalpha;
"kickridr";lr-fbalpha;
"kidnikiu";lr-fbalpha;
"kikcubicb";lr-fbalpha;
"kikikai";lr-mame;
"kikstart";lr-mame;
"killbld";lr-fbalpha;
"killbldp";lr-fbalpha;
"killcom";lr-mame;
"kingball";lr-fbalpha;
"kingdmgp";lr-fbalpha;
"kingofb";lr-mame;
"kinst";lr-fbalpha;
"kinst2";lr-fbalpha;
"kirameki";lr-fbalpha;
"kittenk";lr-fbalpha;
"klax";lr-mame;
"knckhead";lr-mame;
"kncljoe";lr-fbalpha;
"knightsu";lr-fbalpha;
"kodu";lr-fbalpha;
"kodure";lr-mame;
"koikois2";lr-fbalpha;
"konamigt";lr-fbalpha;
"kong";lr-fbalpha;
"kontest";lr-fbalpha;
"korokoro";lr-fbalpha;
"koshien";lr-fbalpha;
"kouyakyu";lr-mame;
"kov";lr-fbalpha;
"kov2";lr-fbalpha;
"kov2p";lr-fbalpha;
"kovplus";lr-fbalpha;
"kovsh";lr-fbalpha;
"kovshp";lr-fbalpha;
"kovytzy";lr-fbalpha;
"kozure";lr-fbalpha;
"kram";lr-mame;
"krull";lr-mame;
"krzybowl";lr-fbalpha;
"ksayakyu";lr-fbalpha;
"kungfum";lr-fbalpha;
"kungfut";lr-fbalpha;
"kurikint";lr-fbalpha;
"kyros";lr-fbalpha;
"kyukaidk";lr-fbalpha;
"kyustrkr";lr-fbalpha;
"ladybug";lr-fbalpha;
"ladygolf";lr-mame;
"ladykill";lr-fbalpha;
"ladymstr";lr-fbalpha;
"lagunar";lr-mame;
"landmakr";lr-fbalpha;
"lasso";lr-fbalpha;
"lastday";lr-fbalpha;
"lastduel";lr-fbalpha;
"lastfort";lr-fbalpha;
"lastmisn";lr-fbalpha;
"lastsurv";lr-fbalpha;
"lazercmd";lr-mame;
"ldrun";lr-fbalpha;
"ldrun2";lr-fbalpha;
"ldrun3";lr-fbalpha;
"ldrun4";lr-fbalpha;
"le2";lr-mame;
"leds2011";lr-fbalpha;
"legend";lr-fbalpha;
"legion";lr-fbalpha;
"lemmings";lr-fbalpha;
"leprechn";lr-mame;
"lethalen";lr-fbalpha;
"lethalth";lr-fbalpha;
"levers";lr-fbalpha;
"lghost";lr-fbalpha;
"lgtnfghtu";lr-fbalpha;
"liberate";lr-mame;
"liblrabl";lr-fbalpha;
"lightbr";lr-fbalpha;
"liquidk";lr-fbalpha;
"livequiz";lr-fbalpha;
"lizwiz";lr-fbalpha;
"lkage";lr-fbalpha;
"llander";adv-mame;
"lnc";lr-fbalpha;
"lockonph";lr-fbalpha;
"locomotn";lr-fbalpha;
"loderndf";lr-fbalpha;
"loffireu";lr-fbalpha;
"logger";lr-mame;
"logicpr2";lr-fbalpha;
"logicpro";lr-fbalpha;
"loht";lr-fbalpha;
"lomakai";lr-fbalpha;
"looping";lr-mame;
"lordgun";lr-fbalpha;
"losttomb";lr-fbalpha;
"lotlot";lr-fbalpha;
"lottofun";lr-mame;
"loverboy";lr-fbalpha;
"lsasquad";lr-mame;
"ltswords";lr-fbalpha;
"luckywld";lr-fbalpha;
"luctoday";lr-fbalpha;
"lupin3";lr-mame;
"lvgirl94";lr-fbalpha;
"lwings";lr-fbalpha;
"m4";lr-mame;
"m660";lr-fbalpha;
"m79amb";lr-mame;
"machomou";lr-mame;
"machridr";lr-mame;
"macross";lr-fbalpha;
"macross2";lr-mame;2003
"macrossp";lr-mame;2003
"madcrash";lr-fbalpha;
"madgear";lr-fbalpha;
"madmotor";lr-mame;
"madshark";lr-fbalpha;
"magicbub";lr-fbalpha;
"magix";lr-fbalpha;
"magmax";lr-mame;
"magspot";lr-mame;
"magspot2";lr-mame;
"mainevt";lr-fbalpha;
"mainsnk";lr-fbalpha;
"majtitl2";lr-fbalpha;
"majtitle";lr-fbalpha;
"mangchi";lr-fbalpha;
"maniach";lr-mame;
"maniacsq";lr-fbalpha;
"manybloc";lr-fbalpha;
"mappy";lr-fbalpha;
"marineb";lr-fbalpha;
"mariner";lr-fbalpha;
"mario";lr-fbalpha;
"markham";lr-fbalpha;
"mars";lr-fbalpha;
"martmast";lr-fbalpha;
"marukin";lr-fbalpha;
"marvins";lr-fbalpha;
"marvland";lr-fbalpha;
"marvlandj";lr-fbalpha;
"masterw";lr-fbalpha;
"mastkin";lr-fbalpha;
"matchit2";lr-fbalpha;
"matmania";lr-mame;
"mausuke";lr-mame;
"maxrpm";lr-mame;
"mayday";lr-mame;
"mayhem";lr-mame;
"maze";lr-mame;
"mazinger";lr-fbalpha;
"mbombrd";lr-fbalpha;
"mcatadv";lr-fbalpha;
"mchampdx";lr-fbalpha;
"mechatt";lr-fbalpha;
"medlanes";lr-mame;
"megab";lr-mame;
"megablstu";lr-fbalpha;
"megadon";lr-fbalpha;
"megaman";lr-fbalpha;
"megaman2";lr-fbalpha;
"megatack";lr-mame;
"megazone";lr-fbalpha;
"meijinsn";lr-fbalpha;
"meosism";lr-fbalpha;
"mercsu";lr-fbalpha;
"merlinmm";lr-fbalpha;
"metafox";lr-fbalpha;
"metalb";lr-fbalpha;
"metamrph";lr-fbalpha;
"metlclsh";lr-mame;
"metlfrzr";lr-fbalpha;
"metlhawk";lr-fbalpha;
"metlsavr";lr-fbalpha;
"metmqstr";lr-fbalpha;
"metrocrs";lr-fbalpha;
"mgakuen";lr-fbalpha;
"mgakuen2";lr-fbalpha;
"mgcrystl";lr-fbalpha;
"mia";lr-fbalpha;
"midresu";lr-fbalpha;
"mightybj";lr-mame;
"mikie";lr-fbalpha;
"milliped";lr-fbalpha;
"mimonkey";lr-fbalpha;
"minefld";lr-fbalpha;
"minferno";lr-mame;
"minivadr";lr-fbalpha;
"mirax";lr-fbalpha;
"mirninja";lr-fbalpha;
"missile";lr-mame;
"missw02";lr-fbalpha;
"missw96";lr-fbalpha;
"mj4simai";lr-fbalpha;
"mjgtaste";lr-fbalpha;
"mjleague";lr-fbalpha;
"mjnquest";lr-fbalpha;
"mk";lr-mame;
"mk2";lr-mame;
"mk3";lr-mame;
"mmatrix";lr-fbalpha;
"mmaulers";lr-fbalpha;
"mmaze";lr-fbalpha;
"mmonkey";lr-fbalpha;
"mmpanic";lr-mame;
"mnight";lr-fbalpha;
"mofflott";lr-fbalpha;
"moguchan";lr-fbalpha;
"mogura";lr-fbalpha;
"mole";lr-fbalpha;
"momoko";lr-fbalpha;
"monymony";lr-mame;
"moo";lr-mame;
"moomesa";lr-fbalpha;
"moonal2";lr-fbalpha;
"mooncrst";lr-fbalpha;
"moonqsr";lr-fbalpha;
"moonwar";lr-fbalpha;
"moremore";lr-fbalpha;
"moremorp";lr-fbalpha;
"mosaic";lr-mame;
"motos";lr-fbalpha;
"mouja";lr-mame;
"mouser";lr-fbalpha;
"mp_gaxe2";lr-mame;
"mp_sonic";lr-mame;
"mpangu";lr-fbalpha;
"mpatrol";lr-mame;
"mplanets";lr-fbalpha;
"mrdo";lr-fbalpha;
"mrdofix";lr-fbalpha;
"mrdrillr";lr-mame;
"mrflea";lr-fbalpha;
"mrgoemon";lr-fbalpha;
"mrjong";lr-fbalpha;
"mrkougar";lr-fbalpha;
"mrtnt";lr-fbalpha;
"mrviking";lr-fbalpha;
"ms5pcb";lr-fbalpha;
"msbingo";lr-fbalpha;
"msgogo";lr-fbalpha;
"msgundam";lr-fbalpha;
"mshu";lr-fbalpha;
"mshuttle";lr-fbalpha;
"mshvsfu";lr-fbalpha;
"msisaac";lr-mame;
"mslider";lr-fbalpha;
"mspacman";lr-fbalpha;
"mspuzzle";lr-fbalpha;
"mstworld";lr-fbalpha;
"mswordu";lr-fbalpha;
"mtlchamp";lr-fbalpha;
"mtrap";lr-mame;
"mtwins";lr-fbalpha;
"mugsmash";lr-fbalpha;
"multchmp";lr-fbalpha;
"mustache";lr-fbalpha;
"mustang";lr-fbalpha;
"mutantf";lr-fbalpha;
"mvp";lr-fbalpha;
"mvscu";lr-fbalpha;
"mwalku";lr-fbalpha;
"mwarr";lr-fbalpha;
"mx5000";lr-mame;
"myangel";lr-fbalpha;
"myangel2";lr-fbalpha;
"myhero";lr-fbalpha;
"mysticm";lr-mame;
"mysticri";lr-fbalpha;
"mystston";lr-fbalpha;
"mystwarr";lr-fbalpha;
"naname";lr-fbalpha;
"narc";lr-mame;
"nastarw";lr-fbalpha;
"naughtyb";lr-fbalpha;
"navarone";lr-fbalpha;
"nbahangt";lr-mame;
"nbajam";lr-mame;
"nbamht";lr-fbalpha;
"nbbatmanu";lr-mame;2003
"nbbatman";lr-mame;2003
"nebulray";lr-mame;
"neckneck";lr-mame;
"nemesis";lr-fbalpha;
"nemo";lr-fbalpha;
"neobattl";lr-fbalpha;
"netwars";lr-mame;
"newfant";lr-fbalpha;
"news";lr-fbalpha;
"newsin7";lr-fbalpha;
"nightstru";lr-fbalpha;
"ninclown";lr-mame;
"ninjakd2";lr-fbalpha;
"ninjaku";lr-fbalpha;
"ninjakun";lr-fbalpha;
"ninjawu";lr-mame;2003
"ninjaw";lr-mame;2003
"ninjemak";lr-fbalpha;
"nitedrvr";lr-mame;
"nitrobal";lr-fbalpha;
"nmg5";lr-fbalpha;
"nmouse";lr-fbalpha;
"nob";lr-fbalpha;
"noboranb";lr-mame;
"nomnlnd";lr-mame;
"nost";lr-fbalpha;
"nouryoku";lr-fbalpha;
"nova2001u";lr-fbalpha;
"nrallyx";lr-fbalpha;
"nspirit";lr-fbalpha;
"nstocker";lr-mame;
"numanath";lr-mame;
"nwarru";lr-fbalpha;
"nyny";lr-mame;
"nzeroteam";lr-fbalpha;
"offtwall";lr-mame;
"ohmygod";lr-fbalpha;
"oisipuzl";lr-fbalpha;
"olds103t";lr-fbalpha;
"oldsplus";lr-fbalpha;
"olibochu";lr-mame;
"omegaf";lr-fbalpha;
"omegrace";adv-mame;
"onetwo";lr-fbalpha;
"onna34ro";lr-fbalpha;
"openice";lr-mame;
"opwolf3u";lr-fbalpha;
"opwolfu";lr-fbalpha;
"orbit";lr-mame;
"orbitron";lr-fbalpha;
"orbs";lr-fbalpha;
"ordyne";lr-fbalpha;
"orlegend";lr-fbalpha;
"oscaru";lr-fbalpha;
"osman";lr-fbalpha;
"othunderu";lr-fbalpha;
"otwalls";lr-mame;
"outfxies";lr-mame;
"outrun";adv-mame;
"outzone";lr-fbalpha;
"ozmawars";lr-fbalpha;
"ozon1";lr-fbalpha;
"p47";lr-fbalpha;
"p47aces";lr-mame;
"packbang";lr-fbalpha;
"pacland";lr-fbalpha;
"pacman";lr-mame;
"pacmania";lr-fbalpha;
"pacnpal";lr-fbalpha;
"pacplus";lr-fbalpha;
"paddlema";lr-fbalpha;
"pairlove";lr-fbalpha;
"palamed";lr-fbalpha;
"pandoras";lr-fbalpha;
"pang";lr-fbalpha;
"pang3";lr-fbalpha;
"pangpang";lr-fbalpha;
"pangpoms";lr-fbalpha;
"panicstr";lr-fbalpha;
"paperboy";lr-mame;
"paprazzi";lr-fbalpha;
"parodius";lr-fbalpha;
"pass";lr-fbalpha;
"passshta";lr-fbalpha;
"pastelgl";lr-mame;
"pbaction";lr-mame;
"pbancho";lr-fbalpha;
"pbillian";lr-mame;
"pbillrd";lr-fbalpha;
"pbobbl2u";lr-mame;
"pbobbl3u";lr-mame;
"pbobbl4u";lr-mame;
"pbobble";lr-mame;
"pclubys";lr-fbalpha;
"pdrift";lr-fbalpha;
"peekaboou";lr-fbalpha;
"peggle";lr-mame;
"penbros";lr-fbalpha;
"pengadvb";lr-fbalpha;
"pengo";lr-fbalpha;
"pepper2";lr-mame;
"percuss";lr-fbalpha;
"perfrmanu";lr-fbalpha;
"peterpak";lr-mame;
"pettanp";lr-mame;
"pgalvip";lr-fbalpha;
"pgemeni";lr-fbalpha;
"pgmdemo";lr-fbalpha;
"pgmfrog";lr-fbalpha;
"phantom2";lr-mame;
"phelios";lr-fbalpha;
"phoenix";lr-fbalpha;
"photoy2k";lr-fbalpha;
"phozon";lr-fbalpha;
"pickin";lr-mame;
"pignewt";lr-mame;
"pigout";lr-mame;
"pigskin";lr-mame;
"pinbo";lr-fbalpha;
"pingpong";lr-fbalpha;
"pipedrm";lr-mame;
"pipibibs";lr-fbalpha;
"pirates";lr-fbalpha;
"pisces";lr-fbalpha;
"pistoldm";lr-fbalpha;
"pitfall2";lr-fbalpha;
"pitfight";lr-mame;
"pitnrun";lr-mame;
"pkladies";lr-fbalpha;
"pktgaldx";lr-fbalpha;
"pkunwar";lr-fbalpha;
"platoon";lr-mame;
"playball";lr-mame;
"plegends";lr-fbalpha;
"pleiads";lr-fbalpha;
"plgirls";lr-fbalpha;
"plgirls2";lr-fbalpha;
"plotting";lr-fbalpha;
"plumppop";lr-fbalpha;
"plusalph";lr-fbalpha;
"pnickj";lr-fbalpha;
"poitto";lr-fbalpha;
"pokonyan";lr-fbalpha;
"polaris";lr-mame;
"poleposa";lr-mame;
"poleps2a";lr-mame;
"pollux";lr-fbalpha;
"ponpoko";lr-fbalpha;
"poolshrk";lr-mame;
"pooyan";lr-fbalpha;
"popbingo";lr-fbalpha;
"popeye";lr-mame;
"popflamea";lr-fbalpha;
"popnpop";lr-fbalpha;
"popper";lr-mame;
"popspops";lr-fbalpha;
"porky";lr-fbalpha;
"potopoto";lr-mame;
"poundfor";lr-mame;
"pow";lr-fbalpha;
"powerdrv";lr-mame;
"powerins";lr-fbalpha;
"powrplay";lr-mame;
"pprobe";lr-fbalpha;
"prehisleu";lr-fbalpha;
"primglex";lr-mame;
"primrage";lr-mame;
"prmrsocr";lr-mame;
"progear";lr-fbalpha;
"progress";lr-fbalpha;
"propcycl";lr-mame;
"prtytime";lr-fbalpha;
"pspikesu";lr-fbalpha;
"psurge";lr-fbalpha;
"psychic5";lr-fbalpha;
"psychos";lr-fbalpha;
"pturn";lr-fbalpha;
"puchicar";lr-fbalpha;
"puckpkmn";lr-mame;
"pulirula";lr-mame;2003
"punchout";lr-mame;
"punchout";adv-mame;
"punisheru";lr-fbalpha;
"punkshot";lr-fbalpha;
"pururun";lr-fbalpha;
"pushmans";lr-fbalpha;
"puyopuy2";lr-mame;
"puyopuyo";lr-mame;
"puyosun";lr-mame;
"puzlclub";lr-fbalpha;
"puzldama";lr-mame;
"puzlstar";lr-fbalpha;
"puzzli";lr-fbalpha;
"puzzli2";lr-fbalpha;
"puzzloopu";lr-fbalpha;
"puzzlove";lr-fbalpha;
"puzznicu";lr-fbalpha;
"pwrgoal";lr-fbalpha;
"pwrinst2";lr-fbalpha;
"pzlbowl";lr-fbalpha;
"pzlbreak";lr-fbalpha;
"pzloop2";lr-fbalpha;
"qad";lr-fbalpha;
"qbert";lr-mame;
"qbertqub";lr-mame;
"qcrayon";lr-fbalpha;
"qcrayon2";lr-fbalpha;
"qgakumon";lr-fbalpha;
"qix";lr-mame;
"qjinsei";lr-fbalpha;
"qndream";lr-fbalpha;
"qsangoku";lr-fbalpha;
"qtheater";lr-fbalpha;
"qtono1";lr-fbalpha;
"qtono2j";lr-fbalpha;
"qtorimon";lr-fbalpha;
"quantum";adv-mame;
"quarterb";lr-mame;
"quartet2a";lr-fbalpha;
"quester";lr-fbalpha;
"quiz18k";lr-fbalpha;
"quizf1";lr-fbalpha;
"quizhq";lr-fbalpha;
"quizhuhu";lr-fbalpha;
"quizo";lr-fbalpha;
"qwak";lr-mame;
"qzchikyu";lr-fbalpha;
"qzkklgy2";lr-fbalpha;
"qzkklogy";lr-fbalpha;
"qzquest";lr-fbalpha;
"qzshowby";lr-fbalpha;
"r2dtank";lr-mame;
"rabiolep";lr-fbalpha;
"racedriv";lr-mame;
"rachero";lr-fbalpha;
"racingb";lr-fbalpha;
"rackemup";lr-fbalpha;
"racknrol";lr-fbalpha;
"radarscp";lr-fbalpha;
"radarzon";lr-mame;
"radm";lr-mame;
"radr";lr-mame;
"radrad";lr-fbalpha;
"raflesia";lr-fbalpha;
"raiden";lr-fbalpha;
"raiden2";lr-fbalpha;
"raidendx";lr-fbalpha;
"raiders5";lr-fbalpha;
"raimais";lr-fbalpha;
"rainbow";lr-mame;
"rallybik";lr-fbalpha;
"rallyx";lr-fbalpha;
"rambo3u";lr-fbalpha;
"rampage";lr-mame;
"rastanu";lr-fbalpha;
"razmataz";lr-fbalpha;
"rbibb";lr-mame;
"rbisland";lr-fbalpha;
"rchase";lr-fbalpha;
"reaktor";lr-fbalpha;
"recalh";lr-fbalpha;
"recordbr";lr-fbalpha;
"redalert";lr-mame;
"redbaron";adv-mame;
"redclash";lr-mame;
"redearth";lr-fbalpha;
"redrobin";lr-fbalpha;
"redufo";lr-fbalpha;
"regulus";lr-fbalpha;
"reikaids";lr-mame;
"relief";lr-mame;
"renegade";lr-fbalpha;
"repulse";lr-fbalpha;
"rescraid";lr-mame;
"rescue";lr-fbalpha;
"retofinv";lr-fbalpha;
"revngr84";lr-fbalpha;
"rezon";lr-fbalpha;
"ribbit";lr-mame;
"ridingf";lr-fbalpha;
"ridleofp";lr-mame;
"rimrockn";lr-mame;
"ringdest";lr-fbalpha;
"ringrage";lr-fbalpha;
"riot";lr-fbalpha;
"riotcity";lr-fbalpha;
"ripcord";lr-mame;
"ripoff";adv-mame;
"riskchal";lr-fbalpha;
"rjammer";lr-mame;
"rmpgwt";lr-mame;
"roadf";lr-fbalpha;
"roadriot";lr-mame;
"roadrunn";lr-mame;
"robby";lr-mame;
"robocop2u";lr-fbalpha;
"robocopu";lr-fbalpha;
"robokid";lr-fbalpha;
"robotbwl";lr-mame;
"robotron";lr-mame;
"robowres";lr-fbalpha;
"rockclim";lr-fbalpha;
"rockduck";lr-fbalpha;
"rockn";lr-fbalpha;
"rockn2";lr-fbalpha;
"rockn3";lr-fbalpha;
"rockn4";lr-fbalpha;
"rockrage";lr-fbalpha;
"rocktris";lr-fbalpha;
"rocktrv2";lr-fbalpha;
"rocnrope";lr-fbalpha;
"rodland";lr-fbalpha;
"rohga";lr-mame;2003
"roishtar";lr-fbalpha;
"rolcrush";lr-fbalpha;
"rollerg";lr-fbalpha;
"rompers";lr-fbalpha;
"roughrac";adv-mame;
"roundup";lr-mame;
"route16";lr-fbalpha;
"rpatrol";lr-fbalpha;
"rranger";lr-mame;
"rshark";lr-fbalpha;
"rthun2";lr-fbalpha;
"rthunder";lr-fbalpha;
"rtype2";lr-fbalpha;
"rtypeleo";lr-mame;2003
"rtypeu";lr-fbalpha;
"rumba";lr-fbalpha;
"runaway";lr-mame;
"rungun";lr-mame;
"rygar";lr-fbalpha;
"ryorioh";lr-fbalpha;
"ryouran";lr-fbalpha;
"ryujin";lr-fbalpha;
"ryukyu";lr-fbalpha;
"s1945";adv-mame;
"s1945ii";adv-mame;
"s1945iii";adv-mame;
"sabotenb";lr-fbalpha;
"sadari";lr-fbalpha;
"safari";lr-mame;
"safarir";lr-fbalpha;
"sailormnu";lr-fbalpha;
"salamand";lr-fbalpha;
"salmndr2";lr-mame;
"samurai";lr-mame;
"samuraia";lr-fbalpha;
"sandscrp";lr-fbalpha;
"sarge";lr-mame;
"sasuke";lr-mame;
"saturn";lr-mame;
"saturnzi";lr-fbalpha;
"sauro";lr-fbalpha;
"sbagman";lr-mame;
"sbasebal";lr-fbalpha;
"sbasketb";lr-mame;
"sbishi";lr-fbalpha;
"sbm";lr-mame;
"sbomber";lr-fbalpha;
"sbomberb";lr-mame;
"sbrkout";lr-mame;
"scessjoe";lr-fbalpha;
"scfinals";lr-fbalpha;
"schaser";lr-mame;
"schmeisr";lr-fbalpha;
"sci";lr-fbalpha;
"scionc";lr-fbalpha;
"scobra";lr-fbalpha;
"scontra";lr-fbalpha;
"scorpion";lr-fbalpha;
"scorpnmc";lr-mame;
"scotrsht";lr-fbalpha;
"scramble";lr-fbalpha;
"scregg";lr-fbalpha;
"screwloo";lr-mame;
"scross";lr-mame;
"scudhamm";lr-mame;
"sdfight";lr-fbalpha;
"sdgndmps";lr-fbalpha;
"sdi";lr-fbalpha;
"sdtennis";lr-mame;
"sdungeon";lr-mame;
"searcharu";lr-fbalpha;
"searchey";lr-fbalpha;
"searchp2";lr-fbalpha;
"secretag";lr-fbalpha;
"sectionz";lr-fbalpha;
"seganinj";lr-fbalpha;
"seicross";lr-fbalpha;
"selfeena";lr-fbalpha;
"semibase";lr-fbalpha;
"sengekis";lr-fbalpha;
"senjyo";lr-mame;
"senknow";lr-fbalpha;
"sentetst";lr-mame;
"sf";lr-fbalpha;
"sf1";lr-mame;
"sf2ceuc";lr-fbalpha;
"sf2hfu";lr-fbalpha;
"sf2uk";lr-fbalpha;
"sfa2u";lr-fbalpha;
"sfa3u";lr-fbalpha;
"sfau";lr-fbalpha;
"sfiii2";lr-fbalpha;
"sfiii3u";lr-fbalpha;
"sfiiiu";lr-fbalpha;
"sflush";lr-mame;
"sfootbal";lr-mame;
"sfposeid";lr-mame;
"sftm";lr-mame;
"sfx";lr-fbalpha;
"sfz2al";lr-fbalpha;
"sfzch";lr-fbalpha;
"sgemf";lr-fbalpha;
"sgladiat";lr-fbalpha;
"sgunner";lr-fbalpha;
"sgunner2";lr-fbalpha;
"shackled";lr-fbalpha;
"shadfrceu";lr-fbalpha;
"shadowld";lr-fbalpha;
"shadoww";lr-fbalpha;
"shangha2";lr-mame;
"shangha3";lr-mame;
"shanghai";lr-mame;
"shangkid";lr-mame;
"shangon";lr-fbalpha;
"sharrier";lr-fbalpha;
"shdancer";lr-fbalpha;
"sheriff";lr-mame;2010
"shienryu";lr-mame;
"shinfz";lr-fbalpha;
"shinobi";lr-mame;2003
"shinobi2";lr-fbalpha;
"shinobi3";lr-fbalpha;
"shinobi4";lr-fbalpha;
"shocking";lr-fbalpha;
"shogwarru";lr-fbalpha;
"shollow";lr-mame;
"shootout";lr-fbalpha;
"shtrider";lr-fbalpha;
"shuuz";lr-mame;
"sia2650";lr-mame;
"sidearmsu";lr-fbalpha;
"sidepckt";lr-fbalpha;
"silentdu";lr-fbalpha;
"silkroad";lr-fbalpha;
"silkworm";lr-fbalpha;
"silvmil";lr-fbalpha;
"simpsons";lr-fbalpha;
"simpsons2p";lr-fbalpha;
"sindbadm";lr-mame;
"sinistar";lr-mame;
"sjryuko";lr-fbalpha;
"skullfng";lr-mame;
"skullxbo";lr-mame;
"skyadvntu";lr-fbalpha;
"skyalert";lr-fbalpha;
"skyarmy";lr-fbalpha;
"skybase";lr-fbalpha;
"skybump";lr-mame;
"skychut";lr-mame;
"skydiver";lr-mame;
"skyfox";lr-fbalpha;
"skykid";lr-fbalpha;
"skykiddx";lr-fbalpha;
"skylancr";lr-fbalpha;
"skyraid";lr-mame;
"skyrobo";lr-fbalpha;
"skyskipr";lr-fbalpha;
"skysmash";lr-fbalpha;
"skysoldr";lr-fbalpha;
"slammast";lr-fbalpha;
"slapshot";lr-fbalpha;
"smashtv";lr-mame;
"smgolf";lr-mame;
"smgpu";lr-fbalpha;
"snakepit";lr-mame;
"snapjack";lr-fbalpha;
"snapper";lr-fbalpha;
"snowboar";lr-fbalpha;
"snowbro2";lr-fbalpha;
"snowbro3";lr-fbalpha;
"snowbros";lr-fbalpha;
"soccer";lr-mame;
"sokonuke";lr-fbalpha;
"solarfox";lr-mame;
"soldam";lr-fbalpha;
"soldivid";lr-fbalpha;
"solfigtr";lr-fbalpha;
"solomon";lr-fbalpha;
"solvalou";lr-mame;
"sonicbom";lr-fbalpha;
"sonson";lr-fbalpha;
"sos";lr-fbalpha;
"sotsugyo";lr-fbalpha;
"spacbeam";lr-mame;
"spacduel";adv-mame;
"spacecr";lr-mame;
"spacedx";lr-fbalpha;
"spacefev";lr-mame;
"spacefrt";lr-mame;
"spacegunu";lr-fbalpha;
"spaceskr";lr-mame;
"spacetrk";lr-mame;
"spacezap";lr-mame;
"spacfury";adv-mame;
"spang";lr-fbalpha;
"sparkman";lr-fbalpha;
"sparkz";lr-mame;
"spatter";lr-fbalpha;
"spcenctr";lr-mame;
"spcforce";lr-mame;
"spcfrcii";lr-mame;
"spcinv95";adv-mame;
"spclforc";lr-mame;
"spcpostn";lr-fbalpha;
"spdball";lr-mame;
"spdcoin";lr-fbalpha;
"spdodgeb";lr-mame;
"speakres";lr-fbalpha;
"spec2k";lr-fbalpha;
"speedbal";lr-mame;
"speedspn";lr-fbalpha;
"spelunk2";lr-fbalpha;
"spelunkr";lr-fbalpha;
"spf2tu";lr-fbalpha;
"spiders";lr-mame;2010
"spidey";lr-mame;
"spiker";lr-mame;
"spinlbrk";lr-fbalpha;
"splat";lr-mame;
"splatter";lr-fbalpha;
"splndrbt";lr-mame;
"spnchout";lr-fbalpha;
"sprcros2";lr-mame;
"springer";lr-fbalpha;
"sprint4";lr-mame;
"sprint8";lr-mame;
"spy";lr-fbalpha;
"spyhunt";lr-mame;
"spyhunt2";lr-mame;
"sqbert";lr-fbalpha;
"squash";lr-fbalpha;
"sraider";lr-fbalpha;
"sranger";lr-fbalpha;
"srdarwin";lr-fbalpha;
"srdmissn";lr-fbalpha;
"srmp4";lr-fbalpha;
"srmp7";lr-fbalpha;
"srumbler";lr-fbalpha;
"ssf2tu";lr-fbalpha;
"ssf2u";lr-fbalpha;
"ssi";lr-fbalpha;
"sslam";lr-mame;
"ssmissin";lr-fbalpha;
"ssoldier";lr-fbalpha;
"ssozumo";lr-fbalpha;
"sspaceat";lr-mame;
"sspirits";adv-mame;
"ssriders";lr-fbalpha;
"ssrj";lr-mame;
"sstingry";lr-fbalpha;
"sstriker";lr-fbalpha;
"stactics";lr-mame;
"stadhero";lr-mame;
"stadhr96";lr-mame;
"stagger1";lr-fbalpha;
"starblad";lr-mame;
"starcas";adv-mame;
"starfigh";lr-fbalpha;
"starfire";lr-mame;
"starforc";lr-mame;
"stargate";lr-mame;
"stargrds";lr-mame;
"starhawk";adv-mame;
"starjack";lr-fbalpha;
"starlstr";lr-mame;
"starshp1";lr-mame;
"starswep";lr-mame;
"startrek";adv-mame;
"starwars";adv-mame;
"stdragon";lr-fbalpha;
"steeltal";lr-mame;
"stg";lr-fbalpha;
"stinger";lr-fbalpha;
"stkclmns";lr-mame;
"stlforce";lr-fbalpha;
"stmblade";lr-fbalpha;
"stompin";lr-mame;
"stonebal";lr-mame;
"strahl";lr-fbalpha;
"stratgyx";lr-fbalpha;
"stratof";lr-fbalpha;
"streakng";lr-fbalpha;
"streetsm";lr-fbalpha;
"strider";lr-fbalpha;
"striv";lr-fbalpha;
"strkfgtr";lr-fbalpha;
"strkforc";lr-mame;
"strkzone";lr-mame;
"strnskil";lr-mame;
"stunrun";lr-mame;
"sub";lr-fbalpha;
"sucasino";lr-fbalpha;
"sunaq";lr-fbalpha;
"supbtime";lr-fbalpha;
"superbik";lr-mame;
"superbon";lr-fbalpha;
"superbug";lr-mame;
"superchs";lr-fbalpha;
"supermanu";lr-fbalpha;
"superpac";lr-fbalpha;
"superten";lr-fbalpha;
"supertnk";lr-mame;
"superx";lr-fbalpha;
"supmodel";lr-fbalpha;
"suprglob";lr-fbalpha;
"suprleag";lr-fbalpha;
"suprloco";lr-fbalpha;
"suprmrio";lr-mame;
"suprridr";lr-fbalpha;
"suprslam";lr-mame;
"suprtrio";lr-fbalpha;
"supxevs";lr-mame;
"suratk";lr-fbalpha;
