name;bestcore;mameversion
"boogwing";lr-mame;2003
"boomrang";lr-mame;
"borench";lr-mame;
"bottom9";lr-fbalpha;
"bouldash";lr-fbalpha;
"bounty";lr-fbalpha;
"bowlrama";lr-fbalpha;
"boxer";lr-mame;
"boxyboy";lr-fbalpha;
"bradley";lr-mame;
"brain";lr-fbalpha;
"brapboysu";lr-fbalpha;
"brdrlinb";lr-mame;
"brival";lr-mame;
"brkthru";lr-fbalpha;
"brubber";lr-fbalpha;
"brutforc";lr-mame;
"bsharku";lr-fbalpha;
"bssoccer";lr-fbalpha;
"btime";lr-mame;
"btlecity";lr-mame;
"btlkroad";lr-fbalpha;
"btoads";lr-mame;
"bubblem";lr-fbalpha;
"bubbles";lr-mame;
"bubbletr";lr-fbalpha;
"bubl2000";lr-fbalpha;
"bublbob2";lr-fbalpha;
"bublboblr";lr-fbalpha;
"buccanrs";lr-fbalpha;
"bucky";lr-fbalpha;
"bullet";lr-fbalpha;
"bullfgt";lr-fbalpha;
"bullfgtr";lr-mame;
"burglarx";lr-fbalpha;
"burnforc";lr-fbalpha;
"butasan";lr-mame;
"bwcasino";lr-fbalpha;
"bwidow";adv-mame;
"bwing";lr-mame;
"bwings";lr-fbalpha;
"bygone";lr-fbalpha;
"bzone";adv-mame;
"cabal";lr-fbalpha;
"cachat";lr-fbalpha;
"cadashu";lr-mame;2003
"cadash";lr-mame;2003
"cairblad";lr-fbalpha;
"calibr50";lr-fbalpha;
"calipso";lr-fbalpha;
"calorie";lr-fbalpha;
"cameltry";lr-fbalpha;
"cannball";lr-fbalpha;
"cannonb";lr-mame;
"cannonbp";lr-fbalpha;
"canvas";lr-fbalpha;
"canyon";lr-fbalpha;
"capbowl";lr-fbalpha;
"captaven";lr-mame;
"captcommu";lr-fbalpha;
"carjmbre";lr-mame;
"carpolo";lr-mame;
"cashquiz";lr-fbalpha;
"castfant";lr-mame;
"catacomb";lr-fbalpha;
"cavelon";lr-fbalpha;
"cavenger";lr-fbalpha;
"cawingu";lr-fbalpha;
"cbasebal";lr-mame;
"cbdash";lr-mame;
"cbtime";lr-mame;
"cburnrub";lr-mame;
"cbuster";lr-mame;2003
"cchasm";adv-mame;
"cclimber";lr-fbalpha;
"cclimbr2";lr-fbalpha;
"cdiscon1";lr-mame;
"centiped";lr-fbalpha;
"cerberus";lr-mame;
"cfghtice";lr-mame;
"cgangpzl";lr-mame;
"cgraplop";lr-mame;
"chainrec";lr-fbalpha;
"chaknpop";lr-fbalpha;
"challeng";lr-mame;
"chameleo";lr-fbalpha;
"champbas";lr-mame;
"champwru";lr-fbalpha;
"chanbara";lr-fbalpha;
"changes";lr-fbalpha;
"charlien";lr-fbalpha;
"chasehqu";lr-fbalpha;
"chboxing";lr-mame;
"checkman";lr-fbalpha;
"checkmat";lr-mame;
"cheekyms";lr-fbalpha;
"cheesech";lr-mame;
"chelnovu";lr-fbalpha;
"chimerab";lr-fbalpha;
"chinagat";lr-fbalpha;
"chinatwn";lr-fbalpha;
"chinhero";lr-mame;
"chkun";lr-fbalpha;
"chokchok";lr-fbalpha;
"choko";lr-fbalpha;
"chopliftu";lr-fbalpha;
"chopper";lr-fbalpha;
"chplftbl";lr-mame;
"chqflag";lr-fbalpha;
"chukataiu";lr-fbalpha;
"chwrestl";lr-mame;
"circusc";lr-fbalpha;
"cischeat";lr-mame;
"citybomb";lr-fbalpha;
"citycon";lr-fbalpha;
"clapapa";lr-mame;
"claypign";lr-mame;
"clayshoo";lr-mame;
"cleopatr";lr-fbalpha;
"cloak";lr-fbalpha;
"clocknch";lr-mame;
"cloud9";lr-mame;
"clshroad";lr-mame;
"cltchitr";lr-fbalpha;
"cluclu";lr-mame;
"cmissnx";lr-mame;
"cnightst";lr-mame;
"cninjau";lr-mame;2003
"cninja";lr-mame;2003
"cobracom";lr-fbalpha;
"colmns97";lr-mame;
"colony7";lr-mame;
"columns";lr-mame;
"columns2";lr-mame;
"combasc";lr-mame;
"combh";lr-fbalpha;
"commandou";lr-fbalpha;
"commandw";lr-fbalpha;
"commsega";lr-fbalpha;
"complexx";lr-mame;
"congo";lr-fbalpha;
"contcircu";lr-fbalpha;
"contra";lr-fbalpha;
"cookbib";lr-fbalpha;
"cookbib2";lr-fbalpha;
"cookbib3";lr-fbalpha;
"cop01";lr-mame;
"copsnrob";lr-mame;
"cosmccop";lr-fbalpha;
"cosmica";lr-mame;
"cosmogng";lr-fbalpha;
"cosmos";lr-mame;
"cotton2";lr-mame;
"cottonbm";lr-mame;
"cottonu";lr-fbalpha;
"countrunb";lr-fbalpha;
"cppicf";lr-mame;
"cprobowl";lr-mame;
"cprogolf";lr-mame;
"cprosocc";lr-mame;
"cps1demo";lr-fbalpha;
"cps1frog";lr-fbalpha;
"cptennis";lr-mame;
"crash";lr-mame;
"crazyfgt";lr-fbalpha;
"crbaloon";lr-mame;
"crgolf";lr-mame;
"crimecu";lr-fbalpha;
"crimfghtu";lr-fbalpha;
"crkdown";adv-mame;
"crospang";lr-fbalpha;
"crshrace";lr-fbalpha;
"crush";lr-fbalpha;
"crusherm";lr-fbalpha;
"crusnusa";lr-mame;
"crusnwld";lr-mame;
"crzrally";lr-mame;
"csclub";lr-fbalpha;
"cscrtry";lr-mame;
"cshift";lr-mame;
"csilver";lr-fbalpha;
"cstlevna";lr-mame;
"csuperas";lr-mame;
"cterrani";lr-mame;
"ctisland";lr-mame;
"ctornado";lr-mame;
"ctribe";lr-fbalpha;
"ctsttape";lr-mame;
"cubybop";lr-fbalpha;
"cuebrick";lr-fbalpha;
"cupfinal";lr-mame;
"curvebal";lr-mame;
"cutefght";lr-fbalpha;
"cutieq";lr-fbalpha;
"cworld";lr-fbalpha;
"cworld2j";lr-fbalpha;
"cybattlr";lr-fbalpha;
"cyberbal";adv-mame;
"cybertnk";lr-fbalpha;
"cybotsu";lr-fbalpha;
"cyvern";lr-fbalpha;
"dacholer";lr-fbalpha;
"daioh";lr-fbalpha;
"daiskiss";lr-mame;
"daitorid";lr-fbalpha;
"dambustr";lr-fbalpha;
"dangar";lr-fbalpha;
"dangseed";lr-fbalpha;
"dankuga";lr-fbalpha;
"daraku";lr-fbalpha;
"darius2";lr-mame;2003
"dariusg";lr-fbalpha;
"dariusgx";lr-fbalpha;
"dariusu";lr-fbalpha;
"darkmist";lr-fbalpha;
"darkplnt";lr-fbalpha;
