#  allMAMEremoved 0.01 > 0.196
#
#  All sets removed, from the first version, in alphabetical order
#
#
#  © 2016/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------
| Name Set                                | Removed In      | Note       |  Type             |
| gt103ab                                 | 0.132u4         |            | Machine           |
| gtsers10a                               | 0.165           |            | Machine           |
| guab21                                  | 0.164           |            | Machine           |
| guab3a                                  | 0.164           |            | Machine           |
| guab4                                   | 0.164           |            | Machine           |
| guab43                                  | 0.164           |            | Machine           |
| guab6                                   | 0.164           |            | Machine           |
| guab6a                                  | 0.164           |            | Machine           |
| guab7                                   | 0.164           |            | Machine           |
| hd63484l                                | 0.174           |            | Device            |
| hetbrlu2                                | 0.122u7         |            | Machine           |
| hunchy                                  | 0.033b7         |            | Machine           |
| hunchy                                  | 0.036b3         |            | Machine           |
| i8275                                   | 0.154           |            | Device            |
| ibara                                   | 0.144           |            | Machine           |
| ibarablk                                | 0.144           |            | Machine           |
| ibarablka                               | 0.144           |            | Machine           |
| ioga                                    | 0.192           |            | Device            |
| iq151_minigrirem_m62_audioaf            | 0.181           |            | Device            |
| isa_ide_cd                              | 0.150           |            | Device            |
| j5slvreeb                               | 0.143u5         |            | Machine           |
| j80r66                                  | 0.146u5         |            | Machine           |
| jolycdat                                | 0.147u2         |            | Machine           |
| josvolly8741_4pack                      | 0.182           |            | Device            |
| joustg                                  | 0.033b7         |            | Machine           |
| k051649                                 | 0.154           |            | Device            |
| k2k_ss5_cart                            | 0.174           |            | Device            |
| k2k_ss5s_cart                           | 0.174           |            | Device            |
| karous                                  | 0.131u1         |            | Machine           |
| kinst13                                 | 0.188           |            | Machine           |
| kinst14                                 | 0.188           |            | Machine           |
| kinst210                                | 0.188           |            | Machine           |
| kinst211                                | 0.188           |            | Machine           |
| kinst213                                | 0.188           |            | Machine           |
| kinst2k4                                | 0.188           |            | Machine           |
| kinstp                                  | 0.188           |            | Machine           |
| koalamnta                               | 0.189           |            | Machine           |
| kof98a                                  | 0.071u2         |            | Machine           |
| kog_prot                                | 0.174           |            | Device            |
| legacy_mos8520                          | 0.154           |            | Device            |
| m1bounty                                | 0.147u4         |            | Machine           |
| m4addrcc                                | 0.146u5         |            | Machine           |
| m4bigbenc                               | 0.146u5         |            | Machine           |
| m4blkwht                                | 0.146u5         |            | Machine           |
| m4calamab                               | 0.146u5         |            | Machine           |
| m4clbtro                                | 0.147u4         |            | Machine           |
| m4clbtroa                               | 0.147u4         |            | Machine           |
| m4clbtrob                               | 0.147u4         |            | Machine           |
| m4clbtroc                               | 0.147u4         |            | Machine           |
| m4clbtrod                               | 0.147u4         |            | Machine           |
| m4dcrazy                                | 0.146u5         |            | Machine           |
| m4frtlt                                 | 0.146u5         |            | Machine           |
| m4gldnud                                | 0.146u5         |            | Machine           |
| m4haunte                                | 0.147u4         |            | Machine           |
| m4lastrp                                | 0.146u5         |            | Machine           |
| m4nudgew                                | 0.146u5         |            | Machine           |
| m4rhfev__e                              | 0.153           |            | Machine           |
| m4shoknr__d                             | 0.153           |            | Machine           |
| m4sinbd2                                | 0.146u5         |            | Machine           |
| m4sinbd3                                | 0.146u5         |            | Machine           |
| m4sinbdd                                | 0.146u5         |            | Machine           |
| m4sinbdj                                | 0.146u5         |            | Machine           |
| m4sinbdl                                | 0.146u5         |            | Machine           |
| m4sinbdw                                | 0.146u5         |            | Machine           |
| m4str300                                | 0.146u5         |            | Machine           |
| m4supbj                                 | 0.146u5         |            | Machine           |
| m4ticgld                                | 0.146u5         |            | Machine           |
| m4vivasx                                | 0.147u4         |            | Machine           |
| m4whaton                                | 0.146u5         |            | Machine           |
| m5fusira                                | 0.146u5         |            | Machine           |
| m5tictaca                               | 0.146u4         |            | Machine           |
| m6510t                                  | 0.161           |            | Device            |
| m6809e                                  | 0.194           |            | Device            |
| m68705                                  | 0.182           |            | Device            |
| m68705                                  | 0.182           |            | Device            |
| m68k                                    | 0.193           |            | Device            |
| mac_sound                               | 0.179           |            | Device            |
| marmagicub                              | 0.193           |            | Machine           |
| mb8877_l                                | 0.163           |            | Device            |
| mb88xx                                  | 0.188           |            | Device            |
| meltyb                                  | 0.131u1         |            | Machine           |
| meltyba                                 | 0.131u1         |            | Machine           |
| mfish                                   | 0.129u6         |            | Machine           |
| mfish_10                                | 0.129u6         |            | Machine           |
| mfish_11                                | 0.129u6         |            | Machine           |
| mfish_12                                | 0.129u6         |            | Machine           |
| mfish_13                                | 0.129u6         |            | Machine           |
| mfish_3                                 | 0.129u6         |            | Machine           |
| mfish_4                                 | 0.129u6         |            | Machine           |
| mfish_5                                 | 0.129u6         |            | Machine           |
| mfish_6                                 | 0.129u6         |            | Machine           |
| mfish_7                                 | 0.129u6         |            | Machine           |
| mfish_8                                 | 0.129u6         |            | Machine           |
| mfish_9                                 | 0.129u6         |            | Machine           |
| mfm_harddisk                            | 0.161           |            | Device            |
| mfm_harddisk_leg                        | 0.164           |            | Device            |
| mgb_lcd                                 | 0.179           |            | Device            |
| microtouch                              | 0.154           |            | Device            |
| miniboy7a                               | 0.162           |            | Machine           |
| mjingyst                                | 0.131u1         |            | Machine           |
| mk6nsw11                                | 0.169           |            | Machine           |
| mmmbanc                                 | 0.144           |            | Machine           |
| mmpork                                  | 0.144           |            | Machine           |
| mos8721                                 | 0.156           |            | Device            |
| mpatrol                                 | 0.037b13        |            | Machine           |
| mushisam                                | 0.144           |            | Machine           |
| mushisama                               | 0.144           |            | Machine           |
| mushitam                                | 0.144           |            | Machine           |
| mvme350                                 | 0.182           |            | Machine           |
| nebulbee                                | 0.079u1         |            | Machine           |
| neogeo_banked_cart                      | 0.174           |            | Device            |
| netlist_rom_region                      | 0.183           |            | Device            |
| newbraineim                             | 0.172           |            | Machine           |
| ngbootleg_prot                          | 0.174           |            | Device            |
| nupogodi                                | 0.187           |            | Machine           |
| oc118                                   | 0.146u5         |            | Device            |
| offroad                                 | 0.035b12        |            | Machine           |
| ohciusb                                 | 0.186           |            | Device            |
| osborne1_daisy                          | 0.168           |            | Device            |
