#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
| gtfore02                   | gtfore03                 | 0.162        |             | Machine           |
| gtfore02                   | gtfore06                 | 0.161        |             | Machine           |
| gtfore02o                  | gtfore02                 | 0.161        |             | Machine           |
| gtfore05                   | gtfore05b                | 0.162        |             | Machine           |
| gtfrk3ma                   | gtfrk3mb                 | 0.122u2      |             | Machine           |
| gtgt                       | gtgt1                    | 0.141        |             | Machine           |
| gticlub                    | gticluba                 | 0.129u4      |             | Machine           |
| gtmr                       | gtmre                    | 0.036rc1     |             | Machine           |
| gtmr2                      | gtmr2a                   | 0.084u5      |             | Machine           |
| gtmralt                    | gtmr                     | 0.036rc1     |             | Machine           |
| gtsers8                    | gtsers8a                 | 0.165        |             | Machine           |
| gtstarb1                   | getstarb1                | 0.153        |             | Machine           |
| gtstarb2                   | getstarb2                | 0.153        |             | Machine           |
| gtstarba                   | gtstarb1                 | 0.126u1      |             | Machine           |
| gtsuprem                   | gtsupreme                | 0.147u3      |             | Machine           |
| guab                       | guab6                    | 0.132u1      |             | Machine           |
| guab3                      | guab                     | 0.132u1      |             | Machine           |
| gulfstr2                   | gulfstrmm                | 0.133u1      |             | Machine           |
| gunbird                    | gunbirdk                 | 0.060        |             | Machine           |
| gunbird                    | gunbirdj                 | 0.057        |             | Machine           |
| gunbulet                   | gunbuletj                | 0.133u2      |             | Machine           |
| gunbustr                   | gunbustrj                | 0.143u8      |             | Machine           |
| gundeala                   | gundealra                | 0.133u1      |             | Machine           |
| gundealt                   | gundealrt                | 0.133u1      |             | Machine           |
| gunforcj                   | gunforcej                | 0.133u1      |             | Machine           |
| gunforcu                   | gunforceu                | 0.133u1      |             | Machine           |
| gunfronj                   | gunfrontj                | 0.130u4      |             | Machine           |
| gunsmoka                   | gunsmokeua               | 0.133u1      |             | Machine           |
| gunsmoke                   | gunsmrom                 | 0.030        |             | Machine           |
| gunsmokeu                  | gunsmokeub               | 0.165        |             | Machine           |
| gunsmokeua                 | gunsmokeu                | 0.165        |             | Machine           |
| gunsmokj                   | gunsmokej                | 0.133u1      |             | Machine           |
| gunsmoku                   | gunsmokeu                | 0.133u1      |             | Machine           |
| gunsmrom                   | gunsmoku                 | 0.062        |             | Machine           |
| gunsur2                    | gunsur2j                 | 0.166        |             | Machine           |
| gunsur2e                   | gunsur2                  | 0.166        |             | Machine           |
| gunwars                    | gunwarsa                 | 0.153        |             | Machine           |
| gwar                       | gwarb                    | 0.036b16     |             | Machine           |
| gwinga                     | gigawinga                | 0.133u1      |             | Machine           |
| gwingb                     | gigawingb                | 0.133u1      |             | Machine           |
| gwingj                     | gigawingj                | 0.133u1      |             | Machine           |
| gwingjd                    | gigawingjd               | 0.139u2      |             | Machine           |
| gyrodinc                   | gyrodinec                | 0.133u1      |             | Machine           |
| gyrodine                   | gyrodinet                | 0.138u1      |             | Machine           |
| gyrodinec                  | gyrodine                 | 0.138u1      |             | Machine           |
| gyruss                     | gyrussce                 | 0.029        |             | Machine           |
| h2hbaskb                   | h2hbaskbc                | 0.195        |             | Machine           |
| h2hsoccer                  | h2hsoccerc               | 0.195        |             | Machine           |
| h63484                     | hd63484                  | 0.172        |             | Device            |
| h8_16bits_timer_channel    | h8_timer16_channel       | 0.186        |             | Device            |
| h8_8bits_timer_channel     | h8_timer8_channel        | 0.186        |             | Device            |
| h8h_16bits_timer_channel   | h8h_timer16_channel      | 0.186        |             | Device            |
| h8h_16bits_timer_channel   | h8h_8bits_timer_channel  | 0.154        |             | Device            |
| h8h_8bits_timer_channel    | h8h_timer8_channel       | 0.186        |             | Device            |
| h8s_16bits_timer_channel   | h8s_timer16_channel      | 0.186        |             | Device            |
| h8s_2241                   | h8s2241                  | 0.153        |             | Device            |
| h8s_2246                   | h8s2246                  | 0.153        |             | Device            |
| h8s_2323                   | h8s2323                  | 0.153        |             | Device            |
| h8s_2655                   | h8s2655                  | 0.153        |             | Device            |
| hamburge                   | cookrace                 | 0.034rc1     |             | Machine           |
| handset                    | ti99_handset             | 0.186        |             | Device            |
| happy6                     | happy6101                | 0.153        |             | Machine           |
| harddrb5                   | harddrivb5               | 0.133u1      |             | Machine           |
| harddrb6                   | harddrivb6               | 0.133u1      |             | Machine           |
| harddrc1                   | harddrivc1               | 0.133u1      |             | Machine           |
| harddrcb                   | harddrivcb               | 0.133u1      |             | Machine           |
| harddrcg                   | harddrivcg               | 0.133u1      |             | Machine           |
| harddrg4                   | harddrivg4               | 0.133u1      |             | Machine           |
| harddriv                   | harddrv3                 | 0.076u1      |             | Machine           |
| harddriv_board_device      | harddriv_board           | 0.186        |             | Device            |
| harddriv_pcb               | harddriv_board_device    | 0.184        |             | Device            |
| harddrivc_board_device     | harddrivc_board          | 0.186        |             | Device            |
| harddrj6                   | harddrivj6               | 0.133u1      |             | Machine           |
| harddrv1                   | harddriv1                | 0.133u1      |             | Machine           |
| harddrv2                   | harddriv2                | 0.133u1      |             | Machine           |
| harddrv3                   | harddriv3                | 0.133u1      |             | Machine           |
| harddrvb                   | harddrivb                | 0.133u1      |             | Machine           |
| harddrvc                   | harddrivc                | 0.133u1      |             | Machine           |
| harddrvg                   | harddrivg                | 0.133u1      |             | Machine           |
| harddrvj                   | harddrivj                | 0.133u1      |             | Machine           |
| harddunj                   | harddunkj                | 0.133u1      |             | Machine           |
| harddunk                   | harddunj                 | 0.072u2      |             | Machine           |
| hardheab                   | hardhedb                 | 0.037b15     |             | Machine           |
| hardhedb                   | hardheadb                | 0.133u1      |             | Machine           |
| hardyd10                   | hardyard10               | 0.133u1      |             | Machine           |
| harley                     | harleya                  | 0.146u1      |             | Machine           |
| harleyb                    | harley                   | 0.146u1      |             | Machine           |
| hatris                     | hatrisj                  | 0.131u2      |             | Machine           |
| hayaosi1                   | hayaosi2                 | 0.119u4      |             | Machine           |
| hbarrel                    | hbarrelw                 | 0.036b5      |             | Machine           |
| hbarrel                    | hbarrelu                 | 0.036b1      |             | Machine           |
| hbarrel                    | hbarrel2                 | 0.033b2      |             | Machine           |
| hbarrel2                   | hbarrelj                 | 0.033b7      |             | Machine           |
| hbarrelj                   | hbarrel                  | 0.036b1      |             | Machine           |
| hbarrelu                   | hbarrel                  | 0.036b5      |             | Machine           |
| hcastle                    | hcastleo                 | 0.059        |             | Machine           |
| hcastlea                   | hcastle                  | 0.059        |             | Machine           |
| hcastlej                   | akumajou                 | 0.147u3      |             | Machine           |
| hcastleo                   | hcastlek                 | 0.147u3      |             | Machine           |
| hcastljo                   | akumajoun                | 0.147u3      |             | Machine           |
| hcd62121                   | hcd62121_cpu_device      | 0.186        |             | Device            |
| hcd62121_cpu_device        | hcd62121                 | 0.196        | <- NEW!     | Device            |
| hd6303r                    | hd6304r                  | 0.186        |             | Device            |
| hd6304r                    | hd6303r                  | 0.191        |             | Device            |
| hd63484                    | hd63484l                 | 0.172        |             | Device            |
| hdc                        | isa_hdc                  | 0.186        |             | Device            |
| hdc_990                    | ti990_tap                | 0.186        |             | Device            |
| hdc_ec1841                 | isa_hdc_ec1841           | 0.186        |             | Device            |
| hdd                        | idehd                    | 0.186        |             | Device            |
| hdd_image                  | hdd                      | 0.149        |             | Device            |
| hdrivaip                   | hdrivairp                | 0.133u1      |             | Machine           |
| hdrivair_board_device      | hdrivair_board           | 0.186        |             | Device            |
| headonb                    | headon1                  | 0.147u4      |             | Machine           |
| heartgar                   | heartgld                 | 0.175        |             | Machine           |
| heatbrl                    | heatbrl2                 | 0.124u5      |             | Machine           |
| hedpanif                   | hedpanicf                | 0.133u1      |             | Machine           |
| hedpanio                   | hedpanico                | 0.133u1      |             | Machine           |
| helifira                   | helifirea                | 0.133u1      |             | Machine           |
| hellfir1                   | hellfire1                | 0.133u1      |             | Machine           |
| hellfir2                   | hellfire2                | 0.133u1      |             | Machine           |
| hellfire1                  | hellfire1a               | 0.149u1      |             | Machine           |
| hellfire2                  | hellfire2a               | 0.149u1      |             | Machine           |
| hellfire3                  | hellfire1                | 0.149u1      |             | Machine           |
| heuksua                    | heuksun                  | 0.113u4      |             | Machine           |
| hfh                        | alienchac                | 0.138u2      |             | Machine           |
| highnoar                   | highnoon                 | 0.175        |             | Machine           |
| highspla                   | highsplta                | 0.133u1      |             | Machine           |
| hiimpac1                   | hiimpact1                | 0.133u1      |             | Machine           |
| hiimpac3                   | hiimpact3                | 0.133u1      |             | Machine           |
| hiimpac4                   | hiimpact4                | 0.133u1      |             | Machine           |
| hiimpacp                   | hiimpactp                | 0.133u1      |             | Machine           |
| hiimpact                   | hiimpac4                 | 0.131u3      |             | Machine           |
| hiimpact                   | hiimpac3                 | 0.084u5      |             | Machine           |
| hirol_g3                   | hirol_gr                 | 0.141u4      |             | Machine           |
| hirol_gr                   | hirol_gr_210             | 0.141u4      |             | Machine           |
| hitme                      | hitme1                   | 0.139u4      |             | Machine           |
| hitnmis2                   | hitnmiss2                | 0.133u1      |             | Machine           |
| hitnmiss                   | hitnmis2                 | 0.035b13     |             | Machine           |
| hldspin1                   | hldspin1o                | 0.133u2      |             | Machine           |
| hldspin1b                  | hldspin1                 | 0.133u2      |             | Machine           |
| hldspin1d                  | hldspin1dt               | 0.133u2      |             | Machine           |
| hldspin1v                  | hldspin1vt               | 0.133u2      |             | Machine           |
| hldspin2                   | hldspin2o                | 0.133u2      |             | Machine           |
| hldspin2b                  | hldspin2                 | 0.133u2      |             | Machine           |
| hldspin2d                  | hldspin2d1               | 0.133u2      |             | Machine           |
| hldspin2v                  | hldspin2v1               | 0.133u2      |             | Machine           |
| hlntroy                    | hlntroyu                 | 0.186        |             | Machine           |
| hlntry                     | hlntroy                  | 0.175        |             | Machine           |
| hlsunmon                   | sunmonbb                 | 0.175        |             | Machine           |
| holywact                   | actionhw                 | 0.097u3      |             | Machine           |
| horizdd                    | nshrz                    | 0.148u5      |             | Machine           |
| horizon                    | horizdd                  | 0.142        |             | Machine           |
| hotd4                      |  hotd4a                  | 0.174        |             | Machine           |
| hotrodj                    | hotrodja                 | 0.164        |             | Machine           |
| hotshock                   | hotshockb                | 0.137u1      |             | Machine           |
| hottop                     | hottopa                  | 0.162        |             | Machine           |
| houhear                    | househrt                 | 0.175        |             | Machine           |
| hp_hil                     | hp_hil_mlc               | 0.186        |             | Device            |
| hpc101                     | pofo_hpc101              | 0.186        |             | Device            |
| hpc102                     | pofo_hpc102              | 0.186        |             | Device            |
| hpc104                     | pofo_hpc104              | 0.186        |             | Device            |
| hpc104_2                   | pofo_hpc104_2            | 0.186        |             | Device            |
| hrdrvairp_board_device     | hdrivairp_board          | 0.186        |             | Device            |
| hrdtimea                   | hrdtimesa                | 0.133u1      |             | Machine           |
| hrttrhb                    | swhr2                    | 0.175        |             | Machine           |
| hsf2                       | hsf2a                    | 0.135u4      |             | Machine           |
| hsf2j                      |  hsf2j1                  | 0.174        |             | Machine           |
| hstenn10                   | hstennis10               | 0.133u1      |             | Machine           |
| hthro95u                   | hthero95u                | 0.133u1      |             | Machine           |
| hunchbka                   | hunchbaka                | 0.133u1      |             | Machine           |
| hvysmsh                    | hvysmshj                 | 0.129u4      |             | Machine           |
| hvyunit                    | hvyunito                 | 0.129u6      |             | Machine           |
| hvyunita                   | hvyunit                  | 0.129u6      |             | Machine           |
| hvyunitb                   | hvyunitj                 | 0.129u6      |             | Machine           |
| hvyunito                   | hvyunitjo                | 0.141u4      |             | Machine           |
| hyperbbc                   | hypbbc2p                 | 0.146        |             | Machine           |
| hyperbbck                  | hypbbc2pk                | 0.146        |             | Machine           |
| hyperpaa                   | twinkle                  | 0.093u3      |             | Machine           |
| hyperpcb                   | hyperpacb                | 0.133u1      |             | Machine           |
| hyprdelj                   | hyprduel2                | 0.138u1      |             | Machine           |
| hyprolyb                   | hyprolymb                | 0.133u1      |             | Machine           |
| hyprolymb                  | hyprolymba               | 0.166        |             | Machine           |
| i82541                     | i82541_device            | 0.186        |             | Device            |
| i8274n                     | i8274_new                | 0.186        |             | Device            |
| i8x9x                      | c8095                    | 0.186        |             | Device            |
| ibarabl                    | ibarablk                 | 0.143u2      |             | Machine           |
| ibarablk                   | ibarablka                | 0.143u4      |             | Machine           |
| ibmat                      | ibm5170                  | 0.126        |             | Machine           |
| ibmpc                      | ibm5150                  | 0.125        |             | Machine           |
| ibmxt                      | ibm5160                  | 0.125        |             | Machine           |
| iceclimb                   | iceclimba                | 0.146u1      |             | Machine           |
| iceclimbj                  | iceclimb                 | 0.146u1      |             | Machine           |
| iceclmbj                   | iceclimbj                | 0.133u1      |             | Machine           |
| iceclmrj                   | iceclmrd                 | 0.146u1      |             | Machine           |
| ichidant                   | ichirj                   | 0.102u1      |             | Machine           |
| ichidntb                   | ichirjbl                 | 0.102u1      |             | Machine           |
| ichidnte                   | ichir                    | 0.102u1      |             | Machine           |
| ide                        | ide_pci                  | 0.174        |             | Device            |
| ide_controller             | idectrl                  | 0.186        |             | Device            |
| ide_controller32           | idectrl32                | 0.186        |             | Device            |
| ie15_keyboard              | ie15kbd                  | 0.186        |             | Device            |
| igpoker                    | jollycde                 | 0.100u4      |             | Machine           |
| igs_025_022                | igs025                   | 0.186        |             | Device            |
| igs_ncs                    | igs_ncs2                 | 0.129u2      |             | Machine           |
| igs017_igs031              | igs017_031               | 0.186        |             | Device            |
| igui9680                   | tgui9680                 | 0.189        |             | Device            |
| ikari3                     | ikari3u                  | 0.143u6      |             | Machine           |
| ikari3nr                   | ikari3                   | 0.143u6      |             | Machine           |
| ikaria                     | ikarinc                  | 0.127u2      |             | Machine           |
| imago                      | imagoa                   | 0.127u3      |             | Machine           |
| imgfigho                   | imgfighto                | 0.133u1      |             | Machine           |
| imgfight                   | imgfigho                 | 0.129u4      |             | Machine           |
| imgfighto                  | imgfightj                | 0.146u1      |             | Machine           |
| imolagp                    | imolagpo                 | 0.148        |             | Machine           |
| incanz                     | incasunnz                | 0.175        |             | Machine           |
| incsun                     | incasun                  | 0.175        |             | Machine           |
| indce                      | indremce                 | 0.175        |             | Machine           |
| inddrma                    | indream                  | 0.175        |             | Machine           |
| indgcm                     | indgldcm                 | 0.175        |             | Machine           |
| indiandr                   | indrema5                 | 0.175        |             | Machine           |
| indianmm                   | indremmm                 | 0.175        |             | Machine           |
| indll                      | indremll                 | 0.175        |             | Machine           |
| indsc                      | indrem2c                 | 0.175        |             | Machine           |
| indsrp                     | drmcatch                 | 0.175        |             | Machine           |
| indy500                    | indy500to                | 0.136u3      |             | Machine           |
| indytem2                   | indytemp2                | 0.133u1      |             | Machine           |
| indytem2                   | indytem3                 | 0.035rc2     |             | Machine           |
| indytem3                   | indytemp3                | 0.133u1      |             | Machine           |
| indytem4                   | indytemp4                | 0.133u1      |             | Machine           |
| indytemc                   | indytempc                | 0.133u1      |             | Machine           |
| indytemd                   | indytempd                | 0.133u1      |             | Machine           |
| initdexp                   | initdexpo                | 0.154        |             | Machine           |
| initdv2j                   | initdv2jo                | 0.143u1      |             | Machine           |
| initdv3j                   | initdv3jb                | 0.143u1      |             | Machine           |
| input_merger_hi            | ipt_merger_hi            | 0.186        |             | Device            |
| input_merger_lo            | ipt_merger_lo            | 0.186        |             | Device            |
| intrepi2                   | intrepid2                | 0.133u1      |             | Machine           |
| intruder                   | spclaser                 | 0.036        |             | Machine           |
| inttootea                  | inttoote2                | 0.189        |             | Machine           |
| intv_hand                  | intv_handctrl            | 0.186        |             | Device            |
| invasn                     | invasnv4                 | 0.122u4      |             | Machine           |
| invasnv4                   | invasnab4                | 0.152        |             | Machine           |
| invdelux                   | invdpt2m                 | 0.036b5      |             | Machine           |
| invrvnga                   | invrvngea                | 0.133u1      |             | Machine           |
| invrvnge                   | invrvngeb                | 0.147u2      |             | Machine           |
| invrvngea                  | invrvngedu               | 0.147u2      |             | Machine           |
| ioexp_slot                 | vtech_ioexp_slot         | 0.186        |             | Device            |
| ip204415                   | indigo4k                 | 0.169        |             | Machine           |
| ipminva1                   | ipminvad1                | 0.133u1      |             | Machine           |
| ipt_merger_hi              | ipt_merge_all_hi         | 0.189        |             | Device            |
| ipt_merger_lo              | ipt_merge_all_lo         | 0.189        |             | Device            |
| iq151_ms151a               | iq151_ms15a              | 0.186        |             | Device            |
| irem_m52_large_audio       | m52_large_audio          | 0.186        |             | Device            |
| irem_m52_soundc_audio      | m52_soundc_audio         | 0.186        |             | Device            |
| irem_m62_audio             | m62_audio                | 0.186        |             | Device            |
| ironclad                   | ironclado                | 0.144        |             | Machine           |
| ironclado                  | ironclad                 | 0.144        |             | Machine           |
| ironfortj                  | ironfortc                | 0.196        | <- NEW!     | Machine           |
| ironhors                   | ironhorsh                | 0.190        |             | Machine           |
| isa_ide8                   | xtide                    | 0.150        |             | Device            |
| it8x_tconn                 | ti8x_tconn               | 0.189        |             | Device            |
| j5indy                     | j6indyge                 | 0.147u4      |             | Machine           |
| j6buzz                     | buzzundr                 | 0.147u4      |             | Machine           |
| j6cpalb                    | j6cpalg                  | 0.147u4      |             | Machine           |
| j6gforceb                  | j6gforced                | 0.147u4      |             | Machine           |
| j6impactb                  | j6impactc                | 0.147u4      |             | Machine           |
| j6indyge                   | j6indyge2                | 0.148u5      |             | Machine           |
| j6mono60a                  | j6mono60l                | 0.147u4      |             | Machine           |
| j6monspd                   | monspdr                  | 0.147u4      |             | Machine           |
| j6sl                       | j6slagn                  | 0.147u4      |             | Machine           |
| j6tbirds                   | j6tbirdsf                | 0.147u4      |             | Machine           |
| j6tbirdsa                  | j6tbirdss                | 0.147u4      |             | Machine           |
| j6tbirdsb                  | j6tbirds                 | 0.147u4      |             | Machine           |
| j6twstd                    | j6twstdt                 | 0.147u4      |             | Machine           |
| j80wsprt                   | j80wsprt2                | 0.148u3      |             | Machine           |
| jack                       | jack2                    | 0.035b2      |             | Machine           |
| jacka                      | jack3                    | 0.035b2      |             | Machine           |
| jackrab2                   | jackrabt2                | 0.133u1      |             | Machine           |
| jackrabs                   | jackrabts                | 0.133u1      |             | Machine           |
| jade                       | jgz80                    | 0.192        |             | Machine           |
| jailbrar                   | jailbrk                  | 0.175        |             | Machine           |
| jailbrkb                   | jailbrekb                | 0.133u1      |             | Machine           |
| japirem                    | gteikoku                 | 0.035rc2     |             | Machine           |
| jbugsega                   | jumpbugb                 | 0.035b9      |             | Machine           |
| jclub2                     | jclub2v200               | 0.186        |             | Machine           |
| jclub2o                    | jclub2v112               | 0.186        |             | Machine           |
| jclub2ob                   | jclub2v203               | 0.186        |             | Machine           |
| jdredd                     | jdreddp                  | 0.078        |             | Machine           |
| jetwave                    | jetwavej                 | 0.153        |             | Machine           |
| jetwave                    | waveshrk                 | 0.137        |             | Machine           |
| jewelunc                   | jewelcm                  | 0.175        |             | Machine           |
| jgakuen                    | jgakuen1                 | 0.186        |             | Machine           |
| jhunt                      | jungleh                  | 0.035rc1     |             | Machine           |
| jingbell                   | jingbelli                | 0.172        |             | Machine           |
| jjsquawb                   | jjsquawkb                | 0.133u1      |             | Machine           |
| jleague                    |  jleagueo                | 0.174        |             | Machine           |
| joemacr                    | joemacra                 | 0.098u4      |             | Machine           |
| joemacra                   | joemacr                  | 0.098u4      |             | Machine           |
| jojo                       | jojor1                   | 0.145u4      |             | Machine           |
| jojo                       | jojoa                    | 0.129        |             | Machine           |
| jojoa                      | jojor2                   | 0.145u4      |             | Machine           |
| jojoaj                     | jojojr2                  | 0.145u4      |             | Machine           |
| jojoalt                    | jojo                     | 0.129        |             | Machine           |
| jojoaltn                   | jojon                    | 0.129        |             | Machine           |
| jojoan                     | jojonr2                  | 0.145u4      |             | Machine           |
| jojoba                     | jojobaa                  | 0.145u1      |             | Machine           |
| jojoba                     | jojoban                  | 0.116u4      |             | Machine           |
| jojobaa                    | jojobar1                 | 0.145u4      |             | Machine           |
| jojobaa                    | jojoba                   | 0.116u4      |             | Machine           |
| jojobaan                   | jojobanr1                | 0.145u4      |             | Machine           |
| jojobaane                  | jojobaner1               | 0.145u4      |             | Machine           |
| jojoban                    | jojobaan                 | 0.145u1      |             | Machine           |
| jojobane                   | jojobaane                | 0.145u1      |             | Machine           |
| jojoj                      | jojojr1                  | 0.145u4      |             | Machine           |
| jojon                      | jojoan                   | 0.129        |             | Machine           |
| jokerpkr                   | potnpkra                 | 0.127u8      |             | Machine           |
| jollycdb                   | jolycdcr                 | 0.102u4      |             | Machine           |
| jollycdc                   | jolycdit                 | 0.102u4      |             | Machine           |
| jollycdd                   | jolycdat                 | 0.102u4      |             | Machine           |
| jollycde                   | jolycdab                 | 0.102u4      |             | Machine           |
| jollypkr                   | jollycdb                 | 0.100u2      |             | Machine           |
| jolycdcr                   | jolyccrb                 | 0.123u3      |             | Machine           |
| jolyjkra                   | jolyjokra                | 0.136u3      |             | Machine           |
| joust                      | joustr                   | 0.030        |             | Machine           |
| joustg                     | joust                    | 0.103u5      |             | Machine           |
| joystick                   | vtech_joystick           | 0.186        |             | Device            |
| jparkj                     | jparkja                  | 0.150        |             | Machine           |
| jr200                      | jr200u                   | 0.139        |             | Machine           |
| jspectr2                   | jspecter2                | 0.133u1      |             | Machine           |
| jujub                      | jujuba                   | 0.146u5      |             | Machine           |
| jumpcoat                   | jumpcoast                | 0.133u1      |             | Machine           |
| jumpshtp                   | jumpshotp                | 0.138u1      |             | Machine           |
| jungleh                    | jhunt                    | 0.021        |             | Machine           |
| junglek                    | junglkj2                 | 0.036b13     |             | Machine           |
| junglhbr                   | junglehbr                | 0.133u1      |             | Machine           |
| junglkj2                   | junglekj2                | 0.133u1      |             | Machine           |
| junofstg                   | junofrstg                | 0.133u1      |             | Machine           |
| jupiter                    | ace                      | 0.142        |             | Machine           |
| jyunai                     | junai                    | 0.143u8      |             | Machine           |
| jyuo8571                   | altbeasj                 | 0.092        |             | Machine           |
| jyuohki                    | altbeaj1                 | 0.092        |             | Machine           |
| jyuohki2                   | altbeaj3                 | 0.092        |             | Machine           |
| k001604                    | k001604_device           | 0.186        |             | Device            |
| k2k_k2k_cart               | neocart_kof2002          | 0.174        |             | Device            |
| k2k_k2k_cart               | neocart_kof2002          | 0.174        |             | Device            |
| k2k_k2kpls_cart            | neocart_kf2k2pls         | 0.174        |             | Device            |
| k2k_k2kpls_cart            | neocart_kf2k2pls         | 0.174        |             | Device            |
| k2k_matrim_cart            | neocart_matrim           | 0.174        |             | Device            |
| k2k_matrim_cart            | neocart_matrim           | 0.174        |             | Device            |
| k2k_ss5_cart               | neocart_samsho5          | 0.174        |             | Device            |
| k2k_ss5s_cart              | neocart_samsh5sp         | 0.174        |             | Device            |
| k573cassslot               | k572cassslot             | 0.186        |             | Device            |
| k573dio                    | k573_dio                 | 0.186        |             | Device            |
| k7659kb                    | k7659_keyboard           | 0.186        |             | Device            |
| kabukiz                    | kabukizj                 | 0.090u3      |             | Machine           |
| kageki                     | kagekiu                  | 0.188        |             | Machine           |
| kagekia                    | kagekih                  | 0.128u1      |             | Machine           |
| kaiserkj                   | kaiserknj                | 0.133u1      |             | Machine           |
| kaitei                     | kaitein                  | 0.138u1      |             | Machine           |
| kaitei                     | kaiteik                  | 0.078u1      |             | Machine           |
| kaiteik                    | kaitei                   | 0.138u1      |             | Machine           |
| kaitein                    | kaitei                   | 0.078u1      |             | Machine           |
| kaneko_view2_tilemap       | kaneko_view2             | 0.186        |             | Device            |
| kaneko16_sprite            | kaneko_kc002             | 0.184        |             | Device            |
| kangaroa                   | kangarooa                | 0.133u1      |             | Machine           |
| kangarob                   | kangaroob                | 0.133u1      |             | Machine           |
| kangaroo                   | kangaroa                 | 0.036rc2     |             | Machine           |
| karatblj                   | karatblzj                | 0.133u1      |             | Machine           |
| karatblu                   | karatblzu                | 0.133u1      |             | Machine           |
| karatedo                   | karatevs                 | 0.036b9      |             | Machine           |
| karnov                     | karnova                  | 0.148u3      |             | Machine           |
| karnov_r                   | karnovr                  | 0.035b3      |             | Machine           |
| kaypro                     | kaypro2x                 | 0.131        |             | Machine           |
| kaypro4                    | kayproiv                 | 0.192        |             | Machine           |
| kaypro4a                   | kaypro484                | 0.192        |             | Machine           |
| kaypro4p88                 | kayproiip88              | 0.192        |             | Machine           |
| kb1013vk1-2                | kb1013vk1_2              | 0.184        |             | Device            |
| kbm2nd                     | kbm                      | 0.113u1      |             | Machine           |
| kc_d004gide                | kc_d004_gide             | 0.186        |             | Device            |
| keroppi                    | keroppij                 | 0.153        |             | Machine           |
| kf2k2pa                    | kf2k2pla                 | 0.103u2      |             | Machine           |
| kgalahu                    | kgalahce                 | 0.194        |             | Machine           |
| kgbirdmk5                  | kgbirda5                 | 0.184        |             | Machine           |
| kicka                      | kickc                    | 0.118u2      |             | Machine           |
| kicknruu                   | kicknrunu                | 0.133u1      |             | Machine           |
| kidniki                    | kidnikiu                 | 0.102u3      |             | Machine           |
| kikcubib                   | kikcubicb                | 0.133u1      |             | Machine           |
| killbld                    | killbld104               | 0.137u1      |             | Machine           |
| killbldt                   | killbld                  | 0.137u1      |             | Machine           |
| kingbalj                   | kingballj                | 0.133u1      |             | Machine           |
| kingnile                   | kingnilea                | 0.186        |             | Machine           |
| kingnilea                  | kingnile                 | 0.186        |             | Machine           |
| kingofm                    | kotm                     | 0.035b3      |             | Machine           |
| kingpeng                   | kingpengsp               | 0.186        |             | Machine           |
| kingpinm                   | maxideal                 | 0.146u5      |             | Machine           |
| kinst                      | kinst14                  | 0.081u4      |             | Machine           |
| kinst2k                    | kinst2k4                 | 0.126u3      |             | Machine           |
| kinst2k3                   | kinst2uk                 | 0.188        |             | Machine           |
| kkgalax                    | ckongmc                  | 0.136u1      |             | Machine           |
| kkojnoli                   | kkotnoli                 | 0.142u6      |             | Machine           |
| klaxalt                    | klax2                    | 0.034b3      |             | Machine           |
| knckhead                   | knckhead                 | 0.060        |             | Machine           |
| knckhedj                   | knckheadj                | 0.133u1      |             | Machine           |
| koalmnt                    | koalama6                 | 0.175        |             | Machine           |
| kod                        | kodr1                    | 0.140u2      |             | Machine           |
| kodure                     | kozure                   | 0.142u2      |             | Machine           |
| kof2002_prot               | ng_kof2002_prot          | 0.186        |             | Device            |
| kof2k3bl_prot              | ng_kof2k3bl_prot         | 0.186        |             | Device            |
| kof95                      | kof95h                   | 0.127u6      |             | Machine           |
| kof95a                     | kof95                    | 0.127u6      |             | Machine           |
| kof96m                     | kof96                    | 0.034b6      |             | Machine           |
| kof97a                     | kof97h                   | 0.134u1      |             | Machine           |
| kof98                      | kof98n                   | 0.071u2      |             | Machine           |
| kof98_prot                 | ng_kof98_prot            | 0.186        |             | Device            |
| kof98e                     | kof98                    | 0.071u2      |             | Machine           |
| kof98n                     | kof98h                   | 0.138u3      |             | Machine           |
| kof99                      | kof99h                   | 0.139u2      |             | Machine           |
| kof99                      | kof99a                   | 0.071u2      |             | Machine           |
| kof99a                     | kof99                    | 0.139u2      |             | Machine           |
| kof99k                     | kof99ka                  | 0.183        |             | Machine           |
| koff99n                    | kof99k                   | 0.138u4      |             | Machine           |
