#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
| aircombu                   | aircomb                  | 0.137u1      |             | Machine           |
| airduel                    | airduelm72               | 0.167        |             | Machine           |
| aladbl                     | aladmdb                  | 0.139u3      |             | Machine           |
| alchemya                   | alchemy                  | 0.175        |             | Machine           |
| alexkdbl                   | alexkida                 | 0.036b3      |             | Machine           |
| alexkid1                   | alexkidd1                | 0.133u1      |             | Machine           |
| alexkida                   | alexkidd                 | 0.092        |             | Machine           |
| alexkidd                   | alexkid1                 | 0.092        |             | Machine           |
| alienar                    | alienaru                 | 0.104u5      |             | Machine           |
| alienfnt                   | alienfnta                | 0.144        |             | Machine           |
| alieninv                   | alieninvp2               | 0.136u4      |             | Machine           |
| aliensy1                   | aliensyn1                | 0.133u1      |             | Machine           |
| aliensy2                   | aliensyn2                | 0.133u1      |             | Machine           |
| aliensy3                   | aliensyn3                | 0.133u1      |             | Machine           |
| aliensya                   | aliensy2                 | 0.092        |             | Machine           |
| aliensyb                   | aliensy3                 | 0.092        |             | Machine           |
| aliensyj                   | aliensy1                 | 0.092        |             | Machine           |
| aliensyn1                  | aliensynjo               | 0.134u4      |             | Machine           |
| aligator                   | aligators                | 0.190        |             | Machine           |
| aligatun                   | aligatorun               | 0.133u1      |             | Machine           |
| alphaona                   | alphaonea                | 0.133u1      |             | Machine           |
| alphasma                   | asmapro                  | 0.153        |             | Machine           |
| alpilota                   | alpilotj                 | 0.187        |             | Machine           |
| alpiltdx                   | alpilot                  | 0.187        |             | Machine           |
| altb8751                   | altbeas5                 | 0.092        |             | Machine           |
| altbeaj1                   | altbeastj1               | 0.133u1      |             | Machine           |
| altbeaj3                   | altbeastj3               | 0.133u1      |             | Machine           |
| altbeas2                   | altbeast2                | 0.133u1      |             | Machine           |
| altbeas2                   | altbeas4                 | 0.092        |             | Machine           |
| altbeas4                   | altbeast4                | 0.133u1      |             | Machine           |
| altbeas5                   | altbeast5                | 0.133u1      |             | Machine           |
| altbeasa                   | altbeast                 | 0.092        |             | Machine           |
| altbeasj                   | altbeastj                | 0.133u1      |             | Machine           |
| altbeast                   | altbeas2                 | 0.092        |             | Machine           |
| altbeast5                  | altbeast6                | 0.145u2      |             | Machine           |
| altbeastj2                 | altbeast5                | 0.145u2      |             | Machine           |
| am_uslot                   | suprstar                 | 0.145u8      |             | Machine           |
| ambush                     | ambushh                  | 0.149        |             | Machine           |
| ambush                     | ambushj                  | 0.138u1      |             | Machine           |
| ambusht                    | ambush                   | 0.138u1      |             | Machine           |
| amerdar2                   | amerdart2                | 0.133u1      |             | Machine           |
| americna                   | americnaa                | 0.165        |             | Machine           |
