#  addMAME 0.01 > 0.196
#
#  © 2014/2018 AntoPISA of www.progettosnaps.net
#
#  Total sets: 35,074
#
#
-----------------------------------------------------------
| S e t                     | Added in version | T y p e  |
| 705u3prg                  | 0.182            | MESS     |
| 720                       | 0.033b04         | MAME     |
| 720g                      | 0.076u1          | MAME     |
| 720gr1                    | 0.076u1          | MAME     |
| 720r1                     | 0.076u1          | MAME     |
| 720r2                     | 0.076u1          | MAME     |
| 720r3                     | 0.034b03         | MAME     |
| 7in1ss                    | 0.182            | MESS     |
| 7jigen                    | 0.078            | MAME     |
| 7mezzo                    | 0.106u11         | MAME     |
| 7ordi                     | 0.113u3          | MAME     |
| 7smash                    | 0.144u5          | MAME     |
| 7toitsu                   | 0.064            | MAME     |
| 800fath                   | 0.037b02         | MAME     |
| 86lions                   | 0.129u1          | MAME     |
| 88games                   | 0.036b03         | MAME     |
| 8ball                     | 0.037b10         | MAME     |
| 8ball1                    | 0.037b10         | MAME     |
| 8ballact                  | 0.072            | MAME     |
| 8ballact2                 | 0.072u1          | MAME     |
| 8bpm                      | 0.074u1          | MAME     |
| 98best44                  | 0.133u1          | MAME     |
| 990189                    | 0.162            | MESS     |
| 990189v                   | 0.162            | MESS     |
| 99bottles                 | 0.147u1          | MAME     |
| 99lstwar                  | 0.036b03         | MAME     |
| 99lstwara                 | 0.036b13         | MAME     |
| 99lstwarb                 | 0.192            | MAME     |
| 99lstwark                 | 0.087u3          | MAME     |
| 9ballsht                  | 0.074u2          | MAME     |
| 9ballsht2                 | 0.074u2          | MAME     |
| 9ballsht3                 | 0.074u2          | MAME     |
| 9ballshtc                 | 0.129            | MAME     |
| a1000                     | 0.162            | MESS     |
| a1000n                    | 0.162            | MESS     |
| a1200                     | 0.162            | MESS     |
| a1200n                    | 0.162            | MESS     |
| a1200xl                   | 0.162            | MESS     |
| a130xe                    | 0.162            | MESS     |
| a2000                     | 0.162            | MESS     |
| a2000n                    | 0.162            | MESS     |
| a2600                     | 0.162            | MESS     |
| a2600p                    | 0.162            | MESS     |
| a3000                     | 0.162            | MESS     |
| a3000n                    | 0.162            | MESS     |
| a400                      | 0.162            | MESS     |
| a4000                     | 0.162            | MESS     |
| a400030                   | 0.162            | MESS     |
| a400030n                  | 0.162            | MESS     |
| a4000n                    | 0.162            | MESS     |
| a4000t                    | 0.162            | MESS     |
| a4000tn                   | 0.162            | MESS     |
| a400pal                   | 0.162            | MESS     |
| a500                      | 0.162            | MESS     |
| a500n                     | 0.162            | MESS     |
| a500p                     | 0.162            | MESS     |
| a500pn                    | 0.162            | MESS     |
| a5105                     | 0.162            | MESS     |
| a5120                     | 0.162            | MESS     |
| a5130                     | 0.162            | MESS     |
| a51mxr3k                  | 0.071u2          | MAME     |
| a51mxr3ka                 | 0.194            | MAME     |
| a51site4                  | 0.101u2          | MAME     |
| a51site4a                 | 0.145u2          | MAME     |
| a5200                     | 0.162            | MESS     |
| a600                      | 0.162            | MESS     |
| a600n                     | 0.162            | MESS     |
| a600xl                    | 0.162            | MESS     |
| a65xe                     | 0.162            | MESS     |
| a65xea                    | 0.162            | MESS     |
| a6809                     | 0.162            | MESS     |
| a7000                     | 0.162            | MESS     |
| a7000p                    | 0.162            | MESS     |
| a7150                     | 0.162            | MESS     |
| a7800                     | 0.162            | MESS     |
| a7800p                    | 0.162            | MESS     |
| a800                      | 0.162            | MESS     |
| a800pal                   | 0.162            | MESS     |
| a800xe                    | 0.162            | MESS     |
| a800xl                    | 0.162            | MESS     |
| a800xlp                   | 0.162            | MESS     |
| aa3000                    | 0.180            | MESS     |
| aa3010                    | 0.162            | MESS     |
| aa3020                    | 0.162            | MESS     |
| aa305                     | 0.180            | MESS     |
| aa310                     | 0.162            | MESS     |
| aa4                       | 0.180            | MESS     |
| aa4000                    | 0.180            | MESS     |
| aa4101                    | 0.180            | MESS     |
| aa4201                    | 0.180            | MESS     |
| aa440                     | 0.180            | MESS     |
| aa4401                    | 0.180            | MESS     |
| aa5000                    | 0.180            | MESS     |
| aa5000a                   | 0.180            | MESS     |
| aa540                     | 0.180            | MESS     |
| aaa                       | 0.192            | MESS     |
| aadvent                   | 0.143u7          | MAME     |
| aafb                      | 0.037b03         | MAME     |
| aafbb                     | 0.037b03         | MAME     |
| aafbc                     | 0.037b16         | MAME     |
| aafbd2p                   | 0.037b03         | MAME     |
| aar_101                   | 0.141u1          | MAME     |
| aavenger                  | 0.141u1          | MAME     |
| abacus                    | 0.138u1          | MAME     |
| abaseb                    | 0.035b02         | MAME     |
| abaseb2                   | 0.035b02         | MAME     |
| abattle                   | 0.089u5          | MAME     |
| abattle2                  | 0.089u5          | MAME     |
| abc110                    | 0.166            | MESS     |
| abc1600                   | 0.162            | MESS     |
| abc310                    | 0.166            | MESS     |
| abc80                     | 0.162            | MESS     |
| abc800c                   | 0.162            | MESS     |
| abc800m                   | 0.162            | MESS     |
| abc802                    | 0.162            | MESS     |
| abc806                    | 0.162            | MESS     |
| abcheck                   | 0.188            | MAME     |
| abclimax                  | 0.157            | MAME     |
| abcop                     | 0.089u3          | MAME     |
| abcopd                    | 0.166            | MAME     |
| abcopj                    | 0.146u5          | MAME     |
| abcopjd                   | 0.166            | MAME     |
| abigchs                   | 0.143u7          | MAME     |
| ablast                    | 0.193            | MAME     |
| ablastb                   | 0.184            | MAME     |
| abnudge                   | 0.129u4          | MAME     |
| abnudgeb                  | 0.129u4          | MAME     |
| abnudged                  | 0.129u4          | MAME     |
| abnudgeo                  | 0.129u4          | MAME     |
| abscam                    | 0.105u2          | MAME     |
| abunai                    | 0.086u2          | MAME     |
| aburner                   | 0.037b09         | MAME     |
| aburner2                  | 0.037b09         | MAME     |
| aburner2g                 | 0.151            | MAME     |
| abv106                    | 0.141u1          | MAME     |
| abv106r                   | 0.141u1          | MAME     |
| ac1                       | 0.162            | MESS     |
| ac1_32                    | 0.162            | MESS     |
| ac1bbclb                  | 0.143u4          | MAME     |
| ac1bbclba                 | 0.146u4          | MAME     |
| ac1bluec                  | 0.143u3          | MAME     |
| ac1blueca                 | 0.146u4          | MAME     |
| ac1bluecb                 | 0.146u4          | MAME     |
| ac1bluecc                 | 0.146u4          | MAME     |
| ac1bluecd                 | 0.146u4          | MAME     |
| ac1clbmn                  | 0.143u3          | MAME     |
| ac1clbsv                  | 0.143u4          | MAME     |
| ac1clbxt                  | 0.143u4          | MAME     |
| ac1clbxta                 | 0.146u4          | MAME     |
| ac1cshtw                  | 0.154            | MAME     |
| ac1dbldx                  | 0.143u3          | MAME     |
| ac1gogld                  | 0.143u3          | MAME     |
| ac1hideh                  | 0.146u4          | MAME     |
| ac1hideha                 | 0.146u4          | MAME     |
| ac1hotpf                  | 0.143u3          | MAME     |
| ac1nudbk                  | 0.143u3          | MAME     |
| ac1nudbka                 | 0.146u4          | MAME     |
| ac1nudbkb                 | 0.146u4          | MAME     |
| ac1nudbkc                 | 0.146u4          | MAME     |
| ac1nudbkd                 | 0.146u4          | MAME     |
| ac1piaca                  | 0.143u4          | MAME     |
| ac1piacl                  | 0.146u4          | MAME     |
