#  addMAME 0.01 > 0.196
#
#  © 2014/2018 AntoPISA of www.progettosnaps.net
#
#  Total sets: 35,074
#
#
-----------------------------------------------------------
| S e t                     | Added in version | T y p e  |
| dokaben                   | 0.036b03         | MAME     |
| dokidoki                  | 0.109u1          | MAME     |
| dokyusei                  | 0.053            | MAME     |
| dokyusp                   | 0.053            | MAME     |
| dollyptn                  | 0.141u1          | MAME     |
| dolmen                    | 0.151            | MAME     |
| dolphin                   | 0.133u5          | MAME     |
| dolphinp                  | 0.143u7          | MAME     |
| dolphntr                  | 0.132            | MAME     |
| dolphntra                 | 0.132            | MAME     |
| dolphntrb                 | 0.173            | MAME     |
| dolphntrce                | 0.184            | MAME     |
| dolphntrcea               | 0.183            | MAME     |
| dolphntrceb               | 0.184            | MAME     |
| dolphntru                 | 0.167            | MAME     |
| domino                    | 0.028            | MAME     |
| domino2                   | 0.143u5          | MAME     |
| dominob                   | 0.119u2          | MAME     |
| dominobv2                 | 0.135u3          | MAME     |
| dominos                   | 0.031            | MAME     |
| dominos4                  | 0.157            | MAME     |
| dommy                     | 0.037b15         | MAME     |
| doncdoon                  | 0.126u3          | MAME     |
| dondenmj                  | 0.066            | MAME     |
| dondokod                  | 0.053            | MAME     |
| dondokodj                 | 0.037b05         | MAME     |
| dondokodu                 | 0.053            | MAME     |
| donghaer                  | 0.142u6          | MAME     |
| donpachi                  | 0.068            | MAME     |
| donpachihk                | 0.109u2          | MAME     |
| donpachij                 | 0.037b08         | MAME     |
| donpachikr                | 0.057            | MAME     |
| dorachan                  | 0.074u2          | MAME     |
| doraemon                  | 0.142u4          | MAME     |
| dorodon                   | 0.066            | MAME     |
| dorodon2                  | 0.066            | MAME     |
| dorunrun                  | 0.026            | MAME     |
| dorunrun2                 | 0.035b11         | MAME     |
| dorunrunc                 | 0.035b11         | MAME     |
| dorunrunca                | 0.104u8          | MAME     |
| dotrikun                  | 0.036b13         | MAME     |
| dotrikun2                 | 0.036b13         | MAME     |
| dotriman                  | 0.186            | MAME     |
| dotron                    | 0.034b04         | MAME     |
| dotrona                   | 0.063            | MAME     |
| dotrone                   | 0.028            | MAME     |
| doubledr                  | 0.034b04         | MAME     |
| douni                     | 0.027            | MAME     |
| dowild                    | 0.026            | MAME     |
| downhill                  | 0.137u1          | MAME     |
| downtown                  | 0.102            | MAME     |
| downtown2                 | 0.037b01         | MAME     |
| downtownj                 | 0.129            | MAME     |
| downtownp                 | 0.079            | MAME     |
| dpatrol                   | 0.156            | MAME     |
| dpatrola                  | 0.170            | MAME     |
| dpc100                    | 0.162            | MESS     |
| dpc180                    | 0.162            | MESS     |
| dpc200                    | 0.162            | MESS     |
| dpc200e                   | 0.162            | MESS     |
| dphl                      | 0.134u3          | MAME     |
| dphla                     | 0.134u3          | MAME     |
| dphljp                    | 0.134u4          | MAME     |
| dphlunka                  | 0.135u3          | MAME     |
| dphlunkb                  | 0.135u3          | MAME     |
| dplay                     | 0.034b01         | MAME     |
| dpoker                    | 0.147            | MAME     |
| dps1                      | 0.162            | MESS     |
| dquizgo                   | 0.111u4          | MAME     |
| dquizgo2                  | 0.118u5          | MAME     |
| drac_l1                   | 0.141u1          | MAME     |
| drac_p11                  | 0.141u1          | MAME     |
| draco                     | 0.109u2          | MAME     |
| dracula                   | 0.141u1          | MAME     |
| dragchrn                  | 0.135u2          | MAME     |
| dragfist                  | 0.141u1          | MAME     |
| dragnblz                  | 0.062            | MAME     |
| dragnfly                  | 0.143u7          | MAME     |
| dragngun                  | 0.067            | MAME     |
| dragngunj                 | 0.149u1          | MAME     |
| dragntr                   | 0.186            | MAME     |
| dragntr2                  | 0.171            | MAME     |
| dragntr3                  | 0.170            | MAME     |
| dragntra                  | 0.186            | MAME     |
| dragon                    | 0.141u1          | MAME     |
| dragon200                 | 0.162            | MESS     |
| dragon200e                | 0.162            | MESS     |
| dragon32                  | 0.162            | MESS     |
| dragon64                  | 0.162            | MESS     |
| dragon64h                 | 0.196            | MESS     |
| dragonsh                  | 0.173            | MAME     |
| dragoona                  | 0.079            | MAME     |
| dragoonj                  | 0.068            | MAME     |
| dragrace                  | 0.060            | MAME     |
| dragsphr                  | 0.143u7          | MAME     |
| drakor                    | 0.141u1          | MAME     |
| drakton                   | 0.074u2          | MAME     |
| draw88pkr                 | 0.180            | MAME     |
| drbyocwb                  | 0.189            | MAME     |
| drbyocwc                  | 0.137u3          | MAME     |
| dreambal                  | 0.148u2          | MAME     |
| dreamwld                  | 0.095u4          | MAME     |
| dreamwv                   | 0.184            | MAME     |
| dremshpr                  | 0.036rc1         | MAME     |
| drgnbowl                  | 0.084            | MAME     |
| drgnbowla                 | 0.154            | MAME     |
| drgnbstr                  | 0.036b11         | MAME     |
| drgneye                   | 0.183            | MAME     |
| drgninja                  | 0.031            | MAME     |
| drgninjab                 | 0.145u5          | MAME     |
| drgninjab2                | 0.169            | MAME     |
| drgnlord                  | 0.173            | MAME     |
| drgnmgic                  | 0.173            | MAME     |
| drgnmst                   | 0.067            | MAME     |
| drgnunit                  | 0.037b05         | MAME     |
| drgnwrld                  | 0.102u1          | MAME     |
| drgnwrldv10c              | 0.126            | MAME     |
| drgnwrldv11h              | 0.126u5          | MAME     |
| drgnwrldv20j              | 0.084u5          | MAME     |
| drgnwrldv21               | 0.133u2          | MAME     |
| drgnwrldv21j              | 0.074u2          | MAME     |
| drgnwrldv30               | 0.103u3          | MAME     |
| drgnwrldv40k              | 0.169            | MAME     |
| drgpunch                  | 0.060            | MAME     |
| drgw2                     | 0.084            | MAME     |
| drgw2c                    | 0.062            | MAME     |
| drgw2hk                   | 0.156            | MAME     |
| drgw2j                    | 0.099u10         | MAME     |
| drgw3                     | 0.080u2          | MAME     |
| drgw3100                  | 0.080u2          | MAME     |
| drgw3103                  | 0.161            | MAME     |
| drgw3105                  | 0.137u4          | MAME     |
| drhl                      | 0.135u2          | MAME     |
| drhla                     | 0.141u2          | MAME     |
| dribling                  | 0.061            | MAME     |
| driblingbr                | 0.145u5          | MAME     |
| driblingo                 | 0.061            | MAME     |
| drifto94                  | 0.057            | MAME     |
| driftout                  | 0.146u4          | MAME     |
| driftoutj                 | 0.037b05         | MAME     |
| drivedge                  | 0.074u2          | MAME     |
| driveout                  | 0.037b05         | MAME     |
| driveyes                  | 0.097u1          | MAME     |
| drivfrcb                  | 0.081u4          | MAME     |
| drivfrcg                  | 0.074u2          | MAME     |
| drivfrcp                  | 0.074u1          | MAME     |
| drivfrcsg                 | 0.194            | MAME     |
| drivfrct                  | 0.145u8          | MAME     |
| drktnjr                   | 0.122            | MAME     |
| drmario                   | 0.037b11         | MAME     |
| drmcatch                  | 0.173            | MAME     |
| drmicro                   | 0.063            | MAME     |
| drmmake                   | 0.143u7          | MAME     |
| drmn                      | 0.113            | MAME     |
| drmn10m                   | 0.141u3          | MAME     |
| drmn2m                    | 0.112u3          | MAME     |
| drmn2mpu                  | 0.124u1          | MAME     |
| drmn3m                    | 0.113            | MAME     |
| drmn4m                    | 0.141u3          | MAME     |
| drmn5m                    | 0.141u3          | MAME     |
| drmn6m                    | 0.141u3          | MAME     |
| drmn7m                    | 0.141u3          | MAME     |
| drmn7ma                   | 0.141u3          | MAME     |
| drmn8m                    | 0.141u3          | MAME     |
| drmn9m                    | 0.141u3          | MAME     |
| drmred                    | 0.173            | MAME     |
| drpcjr                    | 0.162            | MESS     |
| drtomy                    | 0.095u2          | MAME     |
| drtoppel                  | 0.068            | MAME     |
| drtoppelj                 | 0.036b10         | MAME     |
| drtoppelu                 | 0.068            | MAME     |
| drw80pk2                  | 0.121u3          | MAME     |
| drw80pkr                  | 0.135u1          | MAME     |
| drwrt100                  | 0.162            | MESS     |
| drwrt200                  | 0.162            | MESS     |
| drwrt400                  | 0.162            | MESS     |
| drwrt450                  | 0.162            | MESS     |
| ds2                       | 0.162            | MESS     |
| ds348                     | 0.164            | MESS     |
| dsaber                    | 0.173            | MAME     |
| dsabera                   | 0.036b08         | MAME     |
| dsaberj                   | 0.036b08         | MAME     |
| dsb46                     | 0.162            | MESS     |
| dsem                      | 0.129            | MAME     |
| dsem2                     | 0.118            | MAME     |
| dsfdct                    | 0.118u5          | MAME     |
| dsfdcta                   | 0.118u5          | MAME     |
| dsfdr                     | 0.131u1          | MAME     |
| dsftkd                    | 0.112u3          | MAME     |
| dslayrr                   | 0.143u7          | MAME     |
| dslayrra                  | 0.143u7          | MAME     |
| dsmbl                     | 0.153            | MAME     |
| dsoccr94                  | 0.036b09         | MAME     |
| dsoccr94j                 | 0.055            | MAME     |
| dsoccr94k                 | 0.163            | MAME     |
| dsp3000                   | 0.162            | MESS     |
| dsp3500                   | 0.162            | MESS     |
| dsp5500                   | 0.162            | MESS     |
| dspirit                   | 0.036b12         | MAME     |
| dspirit1                  | 0.036b04         | MAME     |
| dspirit2                  | 0.122u4          | MAME     |
| dstage                    | 0.152            | MAME     |
| dstagea                   | 0.110u2          | MAME     |
| dstbloom                  | 0.184            | MAME     |
| dstblooma                 | 0.173            | MAME     |
| dstlk                     | 0.058            | MAME     |
| dstlka                    | 0.037b12         | MAME     |
| dstlkh                    | 0.135            | MAME     |
| dstlku                    | 0.037b12         | MAME     |
| dstlku1d                  | 0.128u4          | MAME     |
| dstlkur1                  | 0.055            | MAME     |
| dtfamily                  | 0.145u1          | MAME     |
| dtoyoken                  | 0.146u2          | MAME     |
| dtrvwz5                   | 0.140u3          | MAME     |
| dual68                    | 0.162            | MESS     |
| dualaslt                  | 0.079            | MAME     |
| dualgame                  | 0.139u4          | MAME     |
| duckhunt                  | 0.037b11         | MAME     |
| duet16                    | 0.195            | MESS     |
| dumpmtmt                  | 0.036b09         | MAME     |
| dumpump                   | 0.166            | MAME     |
| dungdrag                  | 0.141u1          | MAME     |
| dungeonm                  | 0.061            | MAME     |
| dungeonmu                 | 0.061            | MAME     |
| dunhuang                  | 0.113u3          | MAME     |
| dunkmnia                  | 0.084u5          | MAME     |
| dunkmniajc                | 0.074u2          | MAME     |
| dunkshot                  | 0.156            | MAME     |
| dunkshota                 | 0.163            | MAME     |
| dunkshoto                 | 0.074u2          | MAME     |
| dvisland                  | 0.130            | MAME     |
| dvislando                 | 0.140            | MAME     |
| dvk_kcgd                  | 0.166            | MESS     |
| dvk_ksm                   | 0.162            | MESS     |
| dvlrider                  | 0.141u1          | MAME     |
| dvlriderf                 | 0.177            | MAME     |
| dvlriderg                 | 0.141u1          | MAME     |
| dvlrideri                 | 0.141u1          | MAME     |
| dvlsdre                   | 0.141u1          | MAME     |
| dvlsdre2                  | 0.141u1          | MAME     |
| dvnimbus                  | 0.195            | MESS     |
| dw_l1                     | 0.141u1          | MAME     |
| dw_l2                     | 0.141u1          | MAME     |
| dw_p5                     | 0.141u1          | MAME     |
| dw2001                    | 0.138            | MAME     |
| dw225                     | 0.162            | MESS     |
| dw2v100x                  | 0.140u2          | MAME     |
| dwarfd                    | 0.101u4          | MAME     |
| dwarfda                   | 0.143u3          | MAME     |
| dwex                      | 0.138            | MAME     |
| dwpc                      | 0.145u6          | MAME     |
| dx64                      | 0.162            | MESS     |
| dybb99                    | 0.114u1          | MAME     |
| dybbnao                   | 0.114u1          | MAME     |
| dyger                     | 0.035b12         | MAME     |
| dygera                    | 0.037b01         | MAME     |
| dygolf                    | 0.127u3          | MAME     |
| dynabb                    | 0.145u4          | MAME     |
| dynabb97                  | 0.087u1          | MAME     |
| dynablst                  | 0.074u2          | MAME     |
| dynablstb                 | 0.074u2          | MAME     |
| dynablstb2                | 0.145u4          | MAME     |
| dynablstb3                | 0.184            | MAME     |
| dynabomb                  | 0.112u2          | MAME     |
| dynadice                  | 0.080u2          | MAME     |
| dynagear                  | 0.082            | MAME     |
| dynajack                  | 0.173            | MAME     |
| dynajacku                 | 0.186            | MAME     |
| dynamcop                  | 0.087u1          | MAME     |
| dynamcopb                 | 0.087u1          | MAME     |
| dynamcopc                 | 0.125u3          | MAME     |
| dynamski                  | 0.037b14         | MAME     |
| dynashot                  | 0.109u1          | MAME     |
| dynavisn                  | 0.162            | MESS     |
| dyndeka2                  | 0.087u2          | MAME     |
| dyndeka2b                 | 0.114u1          | MAME     |
| dynduke                   | 0.146u1          | MAME     |
| dyndukea                  | 0.146u4          | MAME     |
| dyndukej                  | 0.103            | MAME     |
| dyndukeja                 | 0.182            | MAME     |
| dyndukeu                  | 0.036b10         | MAME     |
| dynobop                   | 0.074u2          | MAME     |
| dynwar                    | 0.059            | MAME     |
| dynwara                   | 0.124u5          | MAME     |
| dynwarj                   | 0.034b01         | MAME     |
| dynwarjr                  | 0.141u2          | MAME     |
| dzigzag                   | 0.035b01         | MAME     |
| e100                      | 0.178            | MESS     |
| eacc                      | 0.162            | MESS     |
| eagle                     | 0.031            | MAME     |
| eagle1600                 | 0.167            | MESS     |
| eagle2                    | 0.035b11         | MAME     |
| eagle3                    | 0.087u2          | MAME     |
| eaglrock                  | 0.173            | MAME     |
| eaglshot                  | 0.074u2          | MAME     |
| earthjkr                  | 0.037b09         | MAME     |
| earthjkrp                 | 0.152            | MAME     |
| eastland                  | 0.173            | MAME     |
| eatpm_4g                  | 0.141u1          | MAME     |
| eatpm_4u                  | 0.141u1          | MAME     |
| eatpm_l1                  | 0.141u1          | MAME     |
| eatpm_l2                  | 0.141u1          | MAME     |
| eatpm_l4                  | 0.141u1          | MAME     |
| eatpm_p7                  | 0.141u1          | MAME     |
| eballchp                  | 0.141u1          | MAME     |
| eballchps                 | 0.182            | MAME     |
| eballd14                  | 0.141u3          | MAME     |
| eballdlx                  | 0.141u1          | MAME     |
| eballdlxp1                | 0.141u1          | MAME     |
| eballdlxp2                | 0.141u1          | MAME     |
| eballdlxp3                | 0.141u1          | MAME     |
| eballdlxp4                | 0.141u1          | MAME     |
| ebases                    | 0.031            | MAME     |
| ebaskb2                   | 0.162            | MESS     |
| ebball                    | 0.162            | MESS     |
| ebball2                   | 0.162            | MESS     |
| ebball3                   | 0.162            | MESS     |
| ec_bar5                   | 0.143u3          | MAME     |
| ec_bar7                   | 0.153            | MAME     |
| ec_barx                   | 0.146u5          | MAME     |
| ec_barx__0                | 0.146u5          | MAME     |
| ec_barx__1                | 0.146u5          | MAME     |
| ec_barx__2                | 0.146u5          | MAME     |
| ec_barx__3                | 0.146u5          | MAME     |
| ec_barx__4                | 0.146u5          | MAME     |
| ec_barx__5                | 0.146u5          | MAME     |
| ec_barx__6                | 0.146u5          | MAME     |
| ec_barx__7                | 0.146u5          | MAME     |
| ec_barx__8                | 0.146u5          | MAME     |
| ec_barx__9                | 0.146u5          | MAME     |
| ec_barx__a                | 0.146u5          | MAME     |
| ec_barx__a0               | 0.146u5          | MAME     |
| ec_barx__a1               | 0.146u5          | MAME     |
| ec_barx__a2               | 0.146u5          | MAME     |
| ec_barx__a3               | 0.146u5          | MAME     |
| ec_barx__a4               | 0.146u5          | MAME     |
| ec_barx__a5               | 0.146u5          | MAME     |
| ec_barx__a6               | 0.146u5          | MAME     |
| ec_barx__a7               | 0.146u5          | MAME     |
| ec_barx__a8               | 0.146u5          | MAME     |
| ec_barx__a9               | 0.146u5          | MAME     |
| ec_barx__aa               | 0.146u5          | MAME     |
| ec_barx__ab               | 0.146u5          | MAME     |
| ec_barx__ac               | 0.146u5          | MAME     |
| ec_barx__ad               | 0.146u5          | MAME     |
| ec_barx__ae               | 0.146u5          | MAME     |
| ec_barx__af               | 0.146u5          | MAME     |
| ec_barx__ag               | 0.146u5          | MAME     |
| ec_barx__ah               | 0.146u5          | MAME     |
| ec_barx__ai               | 0.146u5          | MAME     |
| ec_barx__aj               | 0.146u5          | MAME     |
| ec_barx__ak               | 0.146u5          | MAME     |
| ec_barx__al               | 0.146u5          | MAME     |
| ec_barx__am               | 0.146u5          | MAME     |
| ec_barx__an               | 0.146u5          | MAME     |
| ec_barx__ao               | 0.146u5          | MAME     |
| ec_barx__ap               | 0.146u5          | MAME     |
| ec_barx__aq               | 0.146u5          | MAME     |
| ec_barx__ar               | 0.146u5          | MAME     |
| ec_barx__as               | 0.146u5          | MAME     |
| ec_barx__at               | 0.146u5          | MAME     |
| ec_barx__au               | 0.146u5          | MAME     |
| ec_barx__av               | 0.146u5          | MAME     |
| ec_barx__aw               | 0.146u5          | MAME     |
| ec_barx__ax               | 0.146u5          | MAME     |
| ec_barx__ay               | 0.146u5          | MAME     |
| ec_barx__az               | 0.146u5          | MAME     |
| ec_barx__b                | 0.146u5          | MAME     |
| ec_barx__ba               | 0.146u5          | MAME     |
| ec_barx__bb               | 0.146u5          | MAME     |
| ec_barx__bc               | 0.146u5          | MAME     |
| ec_barx__bd               | 0.146u5          | MAME     |
| ec_barx__be               | 0.146u5          | MAME     |
| ec_barx__bf               | 0.146u5          | MAME     |
| ec_barx__bg               | 0.146u5          | MAME     |
| ec_barx__bh               | 0.146u5          | MAME     |
| ec_barx__bi               | 0.146u5          | MAME     |
| ec_barx__bj               | 0.146u5          | MAME     |
| ec_barx__bk               | 0.146u5          | MAME     |
| ec_barx__bl               | 0.146u5          | MAME     |
| ec_barx__bm               | 0.146u5          | MAME     |
| ec_barx__bn               | 0.146u5          | MAME     |
| ec_barx__bo               | 0.146u5          | MAME     |
| ec_barx__bp               | 0.146u5          | MAME     |
| ec_barx__bq               | 0.146u5          | MAME     |
| ec_barx__br               | 0.146u5          | MAME     |
| ec_barx__bs               | 0.146u5          | MAME     |
| ec_barx__bt               | 0.146u5          | MAME     |
| ec_barx__bu               | 0.146u5          | MAME     |
| ec_barx__c                | 0.146u5          | MAME     |
| ec_barx__d                | 0.146u5          | MAME     |
| ec_barx__e                | 0.146u5          | MAME     |
| ec_barx__f                | 0.143u5          | MAME     |
| ec_barx__g                | 0.146u5          | MAME     |
| ec_barx__h                | 0.146u5          | MAME     |
| ec_barx__i                | 0.146u5          | MAME     |
| ec_barx__j                | 0.146u5          | MAME     |
| ec_barx__k                | 0.146u5          | MAME     |
| ec_barx__l                | 0.146u5          | MAME     |
| ec_barx__m                | 0.146u5          | MAME     |
| ec_barx__n                | 0.146u5          | MAME     |
| ec_barx__o                | 0.146u5          | MAME     |
| ec_barx__p                | 0.146u5          | MAME     |
| ec_barx__q                | 0.146u5          | MAME     |
| ec_barx__r                | 0.146u5          | MAME     |
| ec_barx__s                | 0.146u5          | MAME     |
| ec_barx__t                | 0.146u5          | MAME     |
| ec_barx__u                | 0.146u5          | MAME     |
| ec_barx__v                | 0.146u5          | MAME     |
| ec_barx__w                | 0.146u5          | MAME     |
| ec_barx__x                | 0.146u5          | MAME     |
| ec_barx__y                | 0.146u5          | MAME     |
| ec_barx__z                | 0.146u5          | MAME     |
| ec_barxmab                | 0.146u5          | MAME     |
| ec_barxo                  | 0.143u3          | MAME     |
| ec_barxoa                 | 0.148            | MAME     |
| ec_barxob                 | 0.148            | MAME     |
| ec_barxoc                 | 0.148            | MAME     |
| ec_barxod                 | 0.148            | MAME     |
| ec_barxoe                 | 0.148            | MAME     |
| ec_big7                   | 0.146u5          | MAME     |
| ec_big7__0                | 0.146u5          | MAME     |
| ec_big7__1                | 0.146u5          | MAME     |
| ec_big7__2                | 0.146u5          | MAME     |
| ec_big7__3                | 0.146u5          | MAME     |
| ec_big7__4                | 0.146u5          | MAME     |
| ec_big7__5                | 0.146u5          | MAME     |
| ec_big7__6                | 0.146u5          | MAME     |
| ec_big7__7                | 0.146u5          | MAME     |
| ec_big7__8                | 0.146u5          | MAME     |
| ec_big7__9                | 0.146u5          | MAME     |
| ec_big7__a                | 0.146u5          | MAME     |
| ec_big7__a0               | 0.146u5          | MAME     |
| ec_big7__a1               | 0.146u5          | MAME     |
| ec_big7__a2               | 0.146u5          | MAME     |
| ec_big7__aa               | 0.146u5          | MAME     |
| ec_big7__ab               | 0.146u5          | MAME     |
| ec_big7__ac               | 0.146u5          | MAME     |
| ec_big7__ad               | 0.146u5          | MAME     |
| ec_big7__ae               | 0.146u5          | MAME     |
| ec_big7__af               | 0.146u5          | MAME     |
| ec_big7__ag               | 0.146u5          | MAME     |
| ec_big7__ah               | 0.146u5          | MAME     |
| ec_big7__ai               | 0.146u5          | MAME     |
| ec_big7__aj               | 0.146u5          | MAME     |
| ec_big7__ak               | 0.146u5          | MAME     |
| ec_big7__al               | 0.146u5          | MAME     |
| ec_big7__am               | 0.146u5          | MAME     |
| ec_big7__an               | 0.143u3          | MAME     |
| ec_big7__ao               | 0.146u5          | MAME     |
| ec_big7__ap               | 0.146u5          | MAME     |
| ec_big7__aq               | 0.146u5          | MAME     |
| ec_big7__ar               | 0.146u5          | MAME     |
| ec_big7__as               | 0.146u5          | MAME     |
| ec_big7__at               | 0.146u5          | MAME     |
| ec_big7__au               | 0.146u5          | MAME     |
| ec_big7__av               | 0.146u5          | MAME     |
| ec_big7__aw               | 0.146u5          | MAME     |
| ec_big7__ax               | 0.146u5          | MAME     |
| ec_big7__ay               | 0.146u5          | MAME     |
| ec_big7__az               | 0.146u5          | MAME     |
| ec_big7__b                | 0.146u5          | MAME     |
| ec_big7__c                | 0.146u5          | MAME     |
| ec_big7__d                | 0.146u5          | MAME     |
| ec_big7__e                | 0.146u5          | MAME     |
| ec_big7__f                | 0.146u5          | MAME     |
| ec_big7__g                | 0.146u5          | MAME     |
| ec_big7__h                | 0.146u5          | MAME     |
| ec_big7__i                | 0.146u5          | MAME     |
| ec_big7__j                | 0.146u5          | MAME     |
| ec_big7__k                | 0.146u5          | MAME     |
| ec_big7__l                | 0.146u5          | MAME     |
| ec_big7__m                | 0.146u5          | MAME     |
| ec_big7__n                | 0.146u5          | MAME     |
| ec_big7__o                | 0.146u5          | MAME     |
| ec_big7__p                | 0.146u5          | MAME     |
| ec_big7__q                | 0.146u5          | MAME     |
| ec_big7__r                | 0.146u5          | MAME     |
| ec_big7__s                | 0.146u5          | MAME     |
| ec_big7__t                | 0.146u5          | MAME     |
| ec_big7__u                | 0.146u5          | MAME     |
| ec_big7__v                | 0.146u5          | MAME     |
| ec_big7__w                | 0.146u5          | MAME     |
| ec_big7__x                | 0.146u5          | MAME     |
| ec_big7__y                | 0.146u5          | MAME     |
| ec_big7__z                | 0.146u5          | MAME     |
| ec_bx125                  | 0.143u3          | MAME     |
| ec_bx125a                 | 0.146u5          | MAME     |
| ec_bx180                  | 0.146u5          | MAME     |
| ec_bx180a                 | 0.146u5          | MAME     |
| ec_bxd7s                  | 0.143u3          | MAME     |
| ec_bxd7s__a               | 0.146u5          | MAME     |
| ec_bxd7s__b               | 0.146u5          | MAME     |
| ec_bxd7s__c               | 0.146u5          | MAME     |
| ec_bxd7s__d               | 0.146u5          | MAME     |
| ec_casbx                  | 0.146u5          | MAME     |
| ec_casbx__a               | 0.146u5          | MAME     |
| ec_casbx__b               | 0.146u5          | MAME     |
| ec_casbxcon               | 0.143u6          | MAME     |
| ec_casbxo                 | 0.143u5          | MAME     |
| ec_casbxoa                | 0.148            | MAME     |
| ec_casmb                  | 0.143u6          | MAME     |
| ec_fltr                   | 0.143u6          | MAME     |
| ec_gold7                  | 0.143u6          | MAME     |
| ec_jackb                  | 0.143u6          | MAME     |
| ec_laby                   | 0.143u3          | MAME     |
| ec_labya                  | 0.147u4          | MAME     |
| ec_mag7s                  | 0.143u3          | MAME     |
| ec_mag7s__0               | 0.146u5          | MAME     |
| ec_mag7s__1               | 0.146u5          | MAME     |
| ec_mag7s__2               | 0.146u5          | MAME     |
| ec_mag7s__3               | 0.146u5          | MAME     |
| ec_mag7s__4               | 0.146u5          | MAME     |
| ec_mag7s__5               | 0.146u5          | MAME     |
| ec_mag7s__6               | 0.146u5          | MAME     |
| ec_mag7s__7               | 0.146u5          | MAME     |
| ec_mag7s__8               | 0.146u5          | MAME     |
| ec_mag7s__9               | 0.146u5          | MAME     |
| ec_mag7s__a               | 0.146u5          | MAME     |
| ec_mag7s__a0              | 0.146u5          | MAME     |
| ec_mag7s__aa              | 0.146u5          | MAME     |
| ec_mag7s__ab              | 0.146u5          | MAME     |
| ec_mag7s__ac              | 0.146u5          | MAME     |
| ec_mag7s__ad              | 0.146u5          | MAME     |
| ec_mag7s__ae              | 0.146u5          | MAME     |
| ec_mag7s__af              | 0.146u5          | MAME     |
| ec_mag7s__ag              | 0.146u5          | MAME     |
| ec_mag7s__ah              | 0.146u5          | MAME     |
| ec_mag7s__ai              | 0.146u5          | MAME     |
| ec_mag7s__aj              | 0.146u5          | MAME     |
| ec_mag7s__ak              | 0.146u5          | MAME     |
| ec_mag7s__al              | 0.146u5          | MAME     |
| ec_mag7s__am              | 0.146u5          | MAME     |
| ec_mag7s__an              | 0.146u5          | MAME     |
| ec_mag7s__ao              | 0.146u5          | MAME     |
| ec_mag7s__ap              | 0.146u5          | MAME     |
| ec_mag7s__aq              | 0.146u5          | MAME     |
| ec_mag7s__ar              | 0.146u5          | MAME     |
| ec_mag7s__as              | 0.146u5          | MAME     |
| ec_mag7s__at              | 0.146u5          | MAME     |
| ec_mag7s__au              | 0.146u5          | MAME     |
| ec_mag7s__av              | 0.146u5          | MAME     |
| ec_mag7s__aw              | 0.146u5          | MAME     |
| ec_mag7s__ax              | 0.146u5          | MAME     |
| ec_mag7s__ay              | 0.146u5          | MAME     |
| ec_mag7s__az              | 0.146u5          | MAME     |
| ec_mag7s__b               | 0.146u5          | MAME     |
| ec_mag7s__c               | 0.146u5          | MAME     |
| ec_mag7s__d               | 0.146u5          | MAME     |
| ec_mag7s__e               | 0.146u5          | MAME     |
| ec_mag7s__f               | 0.146u5          | MAME     |
| ec_mag7s__g               | 0.146u5          | MAME     |
| ec_mag7s__h               | 0.146u5          | MAME     |
| ec_mag7s__i               | 0.146u5          | MAME     |
| ec_mag7s__j               | 0.146u5          | MAME     |
| ec_mag7s__k               | 0.146u5          | MAME     |
| ec_mag7s__l               | 0.146u5          | MAME     |
| ec_mag7s__m               | 0.146u5          | MAME     |
| ec_mag7s__n               | 0.146u5          | MAME     |
| ec_mag7s__o               | 0.146u5          | MAME     |
| ec_mag7s__p               | 0.146u5          | MAME     |
| ec_mag7s__q               | 0.146u5          | MAME     |
| ec_mag7s__r               | 0.146u5          | MAME     |
| ec_mag7s__s               | 0.146u5          | MAME     |
| ec_mag7s__t               | 0.146u5          | MAME     |
| ec_mag7s__u               | 0.146u5          | MAME     |
| ec_mag7s__v               | 0.146u5          | MAME     |
| ec_mag7s__w               | 0.146u5          | MAME     |
| ec_mag7s__x               | 0.146u5          | MAME     |
| ec_mag7s__y               | 0.146u5          | MAME     |
| ec_mag7s__z               | 0.146u5          | MAME     |
| ec_mgbel                  | 0.143u6          | MAME     |
| ec_multb                  | 0.143u6          | MAME     |
| ec_ndgxs                  | 0.143u6          | MAME     |
| ec_oxocg                  | 0.143u3          | MAME     |
| ec_oxocl                  | 0.143u3          | MAME     |
| ec_oxogb                  | 0.143u3          | MAME     |
| ec_oxorl                  | 0.143u3          | MAME     |
| ec_oxorv                  | 0.143u3          | MAME     |
| ec_penni                  | 0.143u3          | MAME     |
| ec_pennia                 | 0.147u4          | MAME     |
| ec_pyram                  | 0.147u4          | MAME     |
| ec_pyrama                 | 0.143u3          | MAME     |
| ec_rcc                    | 0.143u3          | MAME     |
| ec_rdht7                  | 0.143u6          | MAME     |
| ec_redbr                  | 0.146u5          | MAME     |
| ec_redbr__0               | 0.146u5          | MAME     |
| ec_redbr__1               | 0.146u5          | MAME     |
| ec_redbr__2               | 0.146u5          | MAME     |
| ec_redbr__3               | 0.146u5          | MAME     |
| ec_redbr__4               | 0.146u5          | MAME     |
| ec_redbr__5               | 0.146u5          | MAME     |
| ec_redbr__6               | 0.146u5          | MAME     |
| ec_redbr__7               | 0.146u5          | MAME     |
| ec_redbr__8               | 0.146u5          | MAME     |
| ec_redbr__9               | 0.146u5          | MAME     |
| ec_redbr__a               | 0.146u5          | MAME     |
