name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
le2;-;Lethal Enforcers II - Gun Fighters (ver EAA);YES;NO;Konami;konamigx;-;1994;
lemnangl;-;Mahjong Lemon Angel (Japan);YES;NO;Home Data;-;-;1990;
leprechn;-;Leprechaun;YES;NO;Tong Electronic;-;-;1982;
lethalj;-;Lethal Justice;YES;NO;The Game Room;-;-;1996;
liberatr;-;Liberator (set 1);YES;NO;Atari;-;-;1982;
lockload;-;Locked 'n Loaded (US);YES;NO;Data East Corporation;-;-;1994;
logger;-;Logger;YES;NO;Century Electronics;cvs;-;1982;
looping;-;Looping (set 1);YES;NO;Venture Line;-;-;1982;
lrescue;-;Lunar Rescue;YES;NO;Taito;-;-;1979;
ltcasin2;-;Little Casino 2;YES;NO;Digital Controls Inc.;-;-;1984;
ltcasino;-;Little Casino;YES;NO;Digital Controls Inc.;-;-;1982;
lupin3;-;Lupin III;YES;NO;Taito;-;invaders;1980;
m4;-;M-4;YES;NO;Midway;-;-;1977;
m79amb;-;M79 Ambush;YES;NO;RamTek;-;-;1977;
mace;-;Mace - The Dark Age;YES;NO;Atari Games;-;-;1996;
mach3;-;M.A.C.H. 3;YES;NO;Mylstar;-;-;1983;
machridr;-;Vs. Mach Rider (Endurance Course Version);YES;NO;Nintendo;-;-;1985;
madalien;-;Mad Alien;YES;NO;Data East Corporation;-;-;1980;
madball;-;Mad Ball V2.0;YES;NO;Yun Sung;-;-;1998;
magspot;-;Magical Spot;YES;NO;Universal;-;-;1980;
magspot2;-;Magical Spot II;YES;NO;Universal;-;-;1980;
mahmajn;-;Tokoro San no MahMahjan;YES;NO;Sega;-;-;1992;
mahmajn2;-;Tokoro San no MahMahjan 2;YES;NO;Sega;-;-;1994;
maiko;-;Maikobana (Japan 900802);YES;NO;Nichibutsu;-;-;1990;
majs101b;-;Mahjong Studio 101 [BET] (Japan);YES;NO;Dynax;-;-;1988;
malzak;-;Malzak;YES;NO;Kitronix;-;-;19??;
marble;-;Marble Madness (set 1);YES;NO;Atari Games;-;-;1984;
marinedt;-;Marine Date;YES;NO;Taito;-;-;1981;
maruchan;-;Maru-Chan de Goo!;YES;NO;Sega;stvbios;-;1997;
mastfury;-;Master's Fury;YES;NO;Unico;-;-;1996;
mausuke;-;Mausuke no Ojama the World;YES;NO;Data East;stvbios;-;1995;
maxforce;-;Maximum Force v1.05;YES;NO;Atari Games;-;-;1996;
maya;-;Maya;YES;NO;Promat;-;-;1994;
mayhem;-;Mayhem 2002;YES;NO;Cinematronics;-;-;1985;
mayumi;-;Kikiippatsu Mayumi-chan (Japan);YES;NO;[Sanritsu] Victory L.L.C.;-;-;1988;
maze;-;Amazing Maze;YES;NO;Midway;-;-;1976;
mazerbla;-;Mazer Blazer;YES;NO;Stern;-;-;1983;
mcnpshnt;-;Mahjong Campus Hunting (Japan);YES;NO;Dynax;-;-;1990;
mcontest;-;Miss Mahjong Contest (Japan);YES;NO;Nichibutsu;-;-;1989;
mdhorse;-;Derby Quiz My Dream Horse (MDH1-VER.A);YES;NO;Namco;-;-;1998;
medlanes;-;Meadows Lanes;YES;NO;Meadows Games, Inc.;-;-;1977;
megab;-;Mega Blast (World);YES;NO;Taito Corporation Japan;-;-;1989;
megaplay;-;MegaPlay: BIOS;YES;NO;Sega;-;-;1993;
megatack;-;MegaTack;YES;NO;GamePlan (Centuri license);-;-;1980;
megatech;-;MegaTech - Bios;YES;NO;Sega;-;-;1989;
mermaid;-;Mermaid;YES;NO;[Sanritsu] Rock-ola;-;-;1982;
mfunclub;-;Mahjong Fun Club - Idol Saizensen (Japan);YES;NO;Video System Co.;-;-;1989;
mgcldate;-;Magical Date (JAPAN) set 1;YES;NO;Taito;taitofx1;-;1996;
mgmen89;-;Mahjong G-MEN'89 (Japan 890425);YES;NO;Nichibutsu;-;-;1989;
mhgaiden;-;Mahjong Hourouki Gaiden (Japan);YES;NO;Home Data;-;-;1987;
mightybj;-;Vs. Mighty Bomb Jack (Japan);YES;NO;Tecmo;-;-;1986;
minferno;-;Inferno (S2650);YES;NO;Meadows;-;-;1978;
minigolf;-;Mini Golf (set 1);YES;NO;Bally/Sente;-;-;1985;
mjanbari;-;Medal Mahjong Janjan Baribari [BET] (Japan);YES;NO;Nichibutsu/Yubis/AV JAPAN;-;-;1992;
mjangels;-;Mahjong Angels - Comic Theater Vol.2 (Japan);YES;NO;Dynax;-;-;1991;
mjcamera;-;Mahjong Camera Kozou (Japan 881109);YES;NO;MIKI SYOUJI;-;-;1988;
mjclinic;-;Mahjong Clinic (Japan);YES;NO;Home Data;-;-;1988;
mjderngr;-;Mahjong Derringer (Japan);YES;NO;Dynax;-;-;1989;
mjdialq2;-;Mahjong Dial Q2 (Japan);YES;NO;Dynax;-;-;1991;
mjdiplob;-;Mahjong Diplomat [BET] (Japan);YES;NO;Dynax;-;-;1987;
mjegolf;-;Mahjong Erotica Golf (Japan);YES;NO;FUJIC/AV JAPAN;-;-;1994;
mjfocus;-;Mahjong Focus (Japan 890313);YES;NO;Nichibutsu;-;-;1989;
mjfriday;-;Mahjong Friday (Japan);YES;NO;Dynax;-;-;1989;
mjgottsu;-;Mahjong Gottsu ee-kanji (Japan);YES;NO;Nichibutsu;-;-;1991;
mjhokite;-;Mahjong Hourouki Okite (Japan);YES;NO;Home Data;-;-;1988;
mjifb;-;Mahjong If [BET] (Japan);YES;NO;Dynax;-;-;1990;
mjikaga;-;Mahjong Ikaga Desu ka (Japan);YES;NO;Mitchell;-;-;1991?;
mjkinjas;-;Mahjong Kinjirareta Asobi (Japan);YES;NO;Home Data;-;-;1991;
mjkoiura;-;Mahjong Koi Uranai (Japan);YES;NO;Nichibutsu;-;-;1992;
mjkojink;-;Mahjong Kojinkyouju (Private Teacher) (Japan);YES;NO;Home Data;-;-;1989;
mjlaman;-;Mahjong La Man (Japan);YES;NO;Nichibutsu/AV JAPAN;-;-;1993;
mjlstory;-;Mahjong Jikken Love Story (Japan);YES;NO;Nichibutsu;-;-;1991;
mjnanpas;-;Mahjong Nanpa Story (Japan 890713);YES;NO;BROOKS;-;-;1989;
mjnatsu;-;Mahjong Natsu Monogatari (Japan);YES;NO;Video System Co.;-;-;1989;
mjsikaku;-;Mahjong Shikaku (Japan 880908);YES;NO;Nichibutsu;-;-;1988;
mjsister;-;Mahjong Sisters (Japan);YES;NO;Toaplan;-;-;1986;
mjuraden;-;Mahjong Uranai Densetsu (Japan);YES;NO;Nichibutsu/Yubis;-;-;1992;
mjyougo;-;Mahjong-yougo no Kisotairyoku (Japan);YES;NO;Home Data;-;-;1989;
mjyuugi;-;Mahjong Yuugi (Japan set 1);YES;NO;Visco;-;-;1990;
mjzoomin;-;Mahjong Channel Zoom In;YES;NO;Jaleco;-;-;1990;
mkeibaou;-;Mahjong Keibaou (Japan);YES;NO;Nichibutsu;-;-;1993;
mladyhtr;-;Mahjong THE LADY HUNTER (Japan 900509);YES;NO;Nichibutsu;-;-;1990;
mmehyou;-;Medal Mahjong Circuit no Mehyou [BET] (Japan);YES;NO;Nichibutsu/Kawakusu;-;-;1992;
mmpanic;-;Monkey Mole Panic (USA);YES;NO;Nakanihon + East Technology (Taito license);-;-;1992;
monsterb;-;Monster Bash;YES;NO;Sega;-;-;1982;
montecar;-;Monte Carlo;YES;NO;Atari;-;-;1979;
monymony;-;Money Money;YES;NO;Zaccaria;-;-;1983;
moo;-;Wild West C.O.W.-Boys of Moo Mesa (World version EA);YES;NO;Konami;-;-;1992;
moonwalk;-;Michael Jackson's Moonwalker (Set 1);YES;NO;Sega;-;-;1990;
mosyougi;-;Syougi No Tatsujin - Master of Syougi;YES;NO;ADK / SNK;neogeo;-;1995;
motofren;-;Moto Frenzy;YES;NO;Atari Games;-;-;1992;
mouja;-;Mouja (Japan);YES;NO;Etona;-;-;1996;
mp_bio;-;Bio-Hazard Battle;YES;NO;Sega;megaplay;-;1993;
mp_col3;-;Columns III;YES;NO;Sega;megaplay;-;1993;
mp_gaxe2;-;Golden Axe II;YES;NO;Sega;megaplay;-;1993;
mp_shnb3;-;Shinobi III;YES;NO;Sega;megaplay;-;1993;
mp_soni2;-;Sonic The Hedgehog 2;YES;NO;Sega;megaplay;-;1993;
mp_sonic;-;Sonic The Hedgehog;YES;NO;Sega;megaplay;-;1993;
mp_sor2;-;Streets Of Rage II;YES;NO;Sega;megaplay;-;1993;
mp_twc;-;Tecmo World Cup;YES;NO;Sega;megaplay;-;1993;
mrdrillr;-;Mr Driller (DRI1-VER.A);YES;NO;Namco;-;-;1999;
mrdrilr2;-;Mr Driller 2;YES;NO;Namco;-;-;2000;
mrokumei;-;Mahjong Rokumeikan (Japan);YES;NO;Home Data;-;-;1988;
mscoutm;-;Mahjong Scout Man (Japan);YES;NO;SPHINX/AV JAPAN;-;-;1994;
msjiken;-;Mahjong Satsujin Jiken (Japan 881017);YES;NO;Nichibutsu;-;-;1988;
mt_aftrb;-;MegaTech - Afterburner;YES;NO;Sega;megatech;-;1989;
mt_astro;-;MegaTech - Astro Warrior;YES;NO;Sega;megatech;-;1989;
mt_bbros;-;MegaTech - Bonanza Bros.;YES;NO;Sega;megatech;-;1989;
mt_beast;-;MegaTech - Altered Beast;YES;NO;Sega;megatech;-;1989;
mt_eswat;-;MegaTech - E-Swat;YES;NO;Sega;megatech;-;1989;
mt_fshrk;-;MegaTech - Fire Shark;YES;NO;Sega;megatech;-;1989;
mt_gaxe;-;MegaTech - Golden Axe;YES;NO;Sega;megatech;-;1989;
mt_gaxe2;-;MegaTech - Golden Axe 2;YES;NO;Sega;megatech;-;1989;
mt_ggolf;-;MegaTech - Great Golf;YES;NO;Sega;megatech;-;1989;
mt_gng;-;MegaTech - Ghouls and Ghosts;YES;NO;Capcom / Sega;megatech;-;1989;
mt_gsocr;-;MegaTech - Great Soccer;YES;NO;Sega;megatech;-;1989;
mt_kcham;-;MegaTech - Kid Chameleon;YES;NO;Sega;megatech;-;1989;
mt_lastb;-;MegaTech - Last Battle.;YES;NO;Sega;megatech;-;1989;
mt_mwalk;-;MegaTech - Moonwalker;YES;NO;Sega;megatech;-;1989;
mt_mystd;-;MegaTech - Mystic Defender;YES;NO;Sega;megatech;-;1989;
mt_parlg;-;MegaTech - Parlour Games;YES;NO;Sega;megatech;-;1989;
mt_revsh;-;MegaTech - The Revenge Of Shinobi;YES;NO;Sega;megatech;-;1989;
mt_shar2;-;MegaTech - Space Harrier 2.;YES;NO;Sega;megatech;-;1989;
mt_shnbi;-;MegaTech - Shinobi;YES;NO;Sega;megatech;-;1989;
mt_smgp;-;MegaTech - Super Monaco Grand Prix;YES;NO;Sega;megatech;-;1990;
mt_sonic;-;MegaTech - Sonic the Hedgehog;YES;NO;Sega;megatech;-;1989;
mt_stbld;-;MegaTech - Super Thunder Blade;YES;NO;Sega;megatech;-;1989;
mt_tetri;-;MegaTech - Tetris;YES;NO;Sega;megatech;-;1989;
mt_tfor2;-;MegaTech - Thunder Force 2;YES;NO;Sega;megatech;-;1989;
mt_tgolf;-;MegaTech - Arnold Palmer Tournament Golf;YES;NO;Sega;megatech;-;1989;
mt_tlbba;-;MegaTech - Tommy Lasorda Baseball;YES;NO;Sega;megatech;-;1989;
mt_wcsoc;-;MegaTech - World Cup Soccer;YES;NO;Sega;megatech;-;1989;
mtrap;-;Mouse Trap (version 5);YES;NO;Exidy;-;-;1981;
myangel3;-;Kosodate Quiz My Angel 3 (KQT1-VER.A);YES;NO;Namco;-;-;1998;
myfairld;-;Virtual Mahjong 2 - My Fair Lady;YES;NO;Micronet;stvbios;-;1998;
mysticm;-;Mystic Marathon;YES;NO;Williams;-;-;1983;
nametune;-;Name That Tune;YES;NO;Bally/Sente;-;-;1986;
navalone;-;Navarone;YES;NO;Namco;-;-;1980;
nbajamex;-;NBA Jam Extreme;YES;NO;Acclaim;acpsx;-;1996;
ncv1;-;Namco Classics Collection Vol.1;YES;NO;Namco;-;-;1995;
ncv2;-;Namco Classics Collection Vol.2;YES;NO;Namco;-;-;1996;
neckneck;-;Neck-n-Neck (v1.2);YES;NO;Bundra Games/Incredible Technologies;-;-;1992;
nekkyoku;-;Rettou Juudan Nekkyoku Janshi - Higashi Nippon Hen (Japan);YES;NO;Video System Co.;-;-;1988;
nettoqc;-;Nettoh Quiz Champion (Japan);YES;NO;Nakanihon;-;-;1995;
ngpgal;-;Nekketsu Grand-Prix Gal (Japan);YES;NO;Nichibutsu;-;-;1991;
ninclown;-;Ninja Clowns (08-27-91);YES;NO;Strata/Incredible Technologies;-;-;1991;
niyanpai;-;Niyanpai (Japan);YES;NO;Nichibutsu;-;-;1996;
nmsengen;-;Nekketsu Mahjong Sengen! AFTER 5 (Japan);YES;NO;Video System Co.;-;-;1991;
noboranb;-;Noboranka (Japan);YES;NO;bootleg;-;-;1986;
nomnlnd;-;No Man's Land;YES;NO;Universal;-;-;1980;
nss;-;Nintendo Super System - BIOS;YES;NO;Nintendo;-;-;199?;
nss_actr;-;Nintendo Super System - Act Raiser;YES;NO;Enix;nss;-;1992;
nss_adam;-;Nintendo Super System - The Addams Family;YES;NO;Ocean;nss;-;1992;
nss_aten;-;Nintendo Super System - David Crane's Amazing Tennis;YES;NO;Absolute Entertainment Inc.;nss;-;1992;
nss_con3;-;Nintendo Super System - Contra 3 - The Alien Wars;YES;NO;Konami;nss;-;1992;
nss_fzer;-;Nintendo Super System - F-Zero;YES;NO;Nintendo;nss;-;199?;
nss_lwep;-;Nintendo Super System - Lethal Weapon;YES;NO;Ocean;nss;-;1992;
nss_ncaa;-;Nintendo Super System - NCAA Basketball;YES;NO;Sculptured Software Inc.;nss;-;1992;
nss_rob3;-;Nintendo Super System - Robocop 3;YES;NO;Ocean;nss;-;1992;
nss_skin;-;Nintendo Super System - Skins Game;YES;NO;Irem;nss;-;1992;
nss_smw;-;Nintendo Super System - Super Mario World;YES;NO;Nintendo;nss;-;199?;
nss_ssoc;-;Nintendo Super System - Super Soccer;YES;NO;Human Inc.;nss;-;1992;
nss_sten;-;Nintendo Super System - Super Tennis;YES;NO;Nintendo;nss;-;199?;
nstocker;-;Night Stocker;YES;NO;Bally/Sente;-;-;1986;
ntopstar;-;Mahjong Nerae! Top Star (Japan);YES;NO;Nichibutsu;-;-;1990;
nyny;-;New York New York;YES;NO;Sigma Enterprises Inc.;-;-;1980;
offroad;-;Ironman Stewart's Super Off-Road;YES;NO;Leland Corp.;-;-;1989;
offroadc;-;Off Road Challenge;YES;NO;Midway;-;-;1997;
offroadt;-;Ironman Stewart's Super Off-Road Track Pack;YES;NO;Leland Corp.;-;-;1989;
offtwall;-;Off the Wall (2-3-player upright);YES;NO;Atari Games;-;-;1991;
ojanko2;-;Ojanko Yakata 2bankan (Japan);YES;NO;V-System Co.;-;-;1987;
ojankoc;-;Ojanko Club (Japan);YES;NO;V-System Co.;-;-;1986;
ojankohs;-;Ojanko High School (Japan);YES;NO;V-System Co.;-;-;1988;
ojankoy;-;Ojanko Yakata (Japan);YES;NO;V-System Co.;-;-;1986;
ojousan;-;Ojousan (Japan 871204);YES;NO;Nichibutsu;-;-;1987;
opengolf;-;Konami's Open Golf Championship (ver EAD);YES;NO;Konami;konamigx;-;1994;
orangec;-;Orange Club - Maruhi Kagai Jugyou (Japan 880213);YES;NO;Daiichi Denshi;-;-;1988;
orbit;-;Orbit;YES;NO;Atari;-;-;1978;
otatidai;-;Disco Mahjong Otachidai no Okite (Japan);YES;NO;SPHINX;-;-;1995;
othellos;-;Othello Shiyouyo;YES;NO;Success;stvbios;-;1998;
othldrby;-;Othello Derby (Japan);YES;NO;Sunwise;-;-;1995;
otonano;-;Otona no Mahjong (Japan 880628);YES;NO;Apple;-;-;1988;
otwalls;-;Off the Wall (Sente);YES;NO;Bally/Sente;-;-;1984;
overdriv;-;Over Drive;YES;NO;Konami;-;-;1990;
pacapp;-;Paca Paca Passion (PPP1-VERA);YES;NO;Produce/Namco;-;-;1999;
pachiten;-;Medal Mahjong Pachi-Slot Tengoku [BET] (Japan);YES;NO;Nichibutsu/MIKI SYOUJI/AV JAPAN;-;-;1993;
pairsten;-;Pairs (System Ten) (Japan 890826);YES;NO;System Ten;-;-;1989;
panic;-;Space Panic (version E);YES;NO;Universal;-;-;1980;
paperboy;-;Paperboy (rev 3);YES;NO;Atari Games;-;-;1984;
paradise;-;Paradise;YES;NO;Yun Sung;-;-;1994+;
pastelgl;-;Pastel Gal (Japan 851224);YES;NO;Nichibutsu;-;-;1985;
patimono;-;Mahjong Pachinko Monogatari (Japan);YES;NO;Nichibutsu;-;-;1992;
pbillian;-;Prebillian;YES;NO;Taito;-;-;1986;
pblbeach;-;Pebble Beach - The Great Shot;YES;NO;TandE Soft;stvbios;-;1995;
pc_1942;-;PlayChoice-10 - 1942;YES;NO;Capcom;playch10;-;1987;
pc_bball;-;PlayChoice-10 - Baseball;YES;NO;Nintendo of America;playch10;-;1984;
pc_bfght;-;PlayChoice-10 - Balloon Fight;YES;NO;Nintendo;playch10;-;1984;
pc_bstar;-;PlayChoice-10 - Baseball Stars;YES;NO;SNK (Nintendo of America license);playch10;-;1989;
pc_cntra;-;PlayChoice-10 - Contra;YES;NO;Konami (Nintendo of America license);playch10;-;1988;
pc_cshwk;-;PlayChoice-10 - Captain Sky Hawk;YES;NO;Rare (Nintendo of America license);playch10;-;1989;
pc_cvnia;-;PlayChoice-10 - Castlevania;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_dbldr;-;PlayChoice-10 - Double Dribble;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_ddrgn;-;PlayChoice-10 - Double Dragon;YES;NO;Technos;playch10;-;1988;
pc_drmro;-;PlayChoice-10 - Dr. Mario;YES;NO;Nintendo;playch10;-;1990;
pc_duckh;-;PlayChoice-10 - Duck Hunt;YES;NO;Nintendo;playch10;-;1984;
pc_ebike;-;PlayChoice-10 - Excite Bike;YES;NO;Nintendo;playch10;-;1984;
pc_ftqst;-;PlayChoice-10 - Uncle Fester's Quest - The Addams Family;YES;NO;Sunsoft (Nintendo of America license);playch10;-;1989;
pc_gntlt;-;PlayChoice-10 - Gauntlet;YES;NO;Atari/Tengen (Nintendo of America license);playch10;-;1985;
pc_golf;-;PlayChoice-10 - Golf;YES;NO;Nintendo;playch10;-;1984;
pc_goons;-;PlayChoice-10 - The Goonies;YES;NO;Konami;playch10;-;1986;
pc_grdus;-;PlayChoice-10 - Gradius;YES;NO;Konami;playch10;-;1986;
pc_hgaly;-;PlayChoice-10 - Hogan's Alley;YES;NO;Nintendo;playch10;-;1984;
pc_kngfu;-;PlayChoice-10 - Kung Fu;YES;NO;Irem (Nintendo license);playch10;-;1984;
pc_mario;-;PlayChoice-10 - Mario Bros.;YES;NO;Nintendo;playch10;-;1983;
pc_miket;-;PlayChoice-10 - Mike Tyson's Punchout;YES;NO;Nintendo;playch10;-;1987;
pc_mman3;-;PlayChoice-10 - Mega Man 3;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1990;
pc_moglf;-;PlayChoice-10 - Mario's Open Golf;YES;NO;Nintendo;playch10;-;1991;
pc_mtoid;-;PlayChoice-10 - Metroid;YES;NO;Nintendo;playch10;-;1986;
pc_ngai2;-;PlayChoice-10 - Ninja Gaiden 2;YES;NO;Tecmo (Nintendo of America license);playch10;-;1990;
pc_ngai3;-;PlayChoice-10 - Ninja Gaiden 3;YES;NO;Tecmo (Nintendo of America license);playch10;-;1991;
pc_ngaid;-;PlayChoice-10 - Ninja Gaiden;YES;NO;Tecmo (Nintendo of America license);playch10;-;1989;
pc_pinbt;-;PlayChoice-10 - PinBot;YES;NO;Rare (Nintendo of America license);playch10;-;1988;
pc_pwbld;-;PlayChoice-10 - Power Blade;YES;NO;Taito (Nintendo of America license);playch10;-;1991;
pc_pwrst;-;PlayChoice-10 - Pro Wrestling;YES;NO;Nintendo;playch10;-;1986;
pc_radr2;-;PlayChoice-10 - Rad Racer II;YES;NO;Square (Nintendo of America license);playch10;-;1990;
pc_radrc;-;PlayChoice-10 - Rad Racer;YES;NO;Square;playch10;-;1987;
pc_rcpam;-;PlayChoice-10 - RC Pro Am;YES;NO;Rare;playch10;-;1987;
pc_rkats;-;PlayChoice-10 - Rockin' Kats;YES;NO;Atlus (Nintendo of America license);playch10;-;1991;
pc_rnatk;-;PlayChoice-10 - Rush N' Attack;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_rrngr;-;PlayChoice-10 - Chip'n Dale - Rescue Rangers;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1987;
pc_rygar;-;PlayChoice-10 - Rygar;YES;NO;Tecmo (Nintendo of America license);playch10;-;1987;
pc_sjetm;-;PlayChoice-10 - Solar Jetman;YES;NO;Rare;playch10;-;1990;
pc_smb;-;PlayChoice-10 - Super Mario Bros.;YES;NO;Nintendo;playch10;-;1985;
pc_smb2;-;PlayChoice-10 - Super Mario Bros. 2;YES;NO;Nintendo;playch10;-;1988;
pc_smb3;-;PlayChoice-10 - Super Mario Bros. 3;YES;NO;Nintendo;playch10;-;1988;
pc_suprc;-;PlayChoice-10 - Super C;YES;NO;Konami (Nintendo of America license);playch10;-;1990;
pc_tbowl;-;PlayChoice-10 - Tecmo Bowl;YES;NO;Tecmo (Nintendo of America license);playch10;-;1989;
pc_tenis;-;PlayChoice-10 - Tennis;YES;NO;Nintendo;playch10;-;1983;
pc_tkfld;-;PlayChoice-10 - Track and Field;YES;NO;Konami (Nintendo of America license);playch10;-;1987;
pc_tmnt;-;PlayChoice-10 - Teenage Mutant Ninja Turtles;YES;NO;Konami (Nintendo of America license);playch10;-;1989;
pc_tmnt2;-;PlayChoice-10 - Teenage Mutant Ninja Turtles II;YES;NO;Konami (Nintendo of America license);playch10;-;1990;
pc_trjan;-;PlayChoice-10 - Trojan;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1986;
pc_vball;-;PlayChoice-10 - Volley Ball;YES;NO;Nintendo;playch10;-;1986;
pc_wcup;-;PlayChoice-10 - Nintendo World Cup;YES;NO;Technos (Nintendo license);playch10;-;1990;
pc_wgnmn;-;PlayChoice-10 - Wild Gunman;YES;NO;Nintendo;playch10;-;1984;
pc_ynoid;-;PlayChoice-10 - Yo! Noid;YES;NO;Capcom USA (Nintendo of America license);playch10;-;1990;
pclubj;-;Print Club (Japan Vol.1);YES;NO;Atlus;-;-;1995;
peggle;-;Peggle (Joystick, v1.0);YES;NO;Strata/Incredible Technologies;-;-;1991;
penky;-;Penky;YES;NO;Yun Sung;-;-;1995;
pepper2;-;Pepper II;YES;NO;Exidy;-;-;1982;
perestro;-;Perestroika Girls;YES;NO;Promat / Fuuki;-;-;1993;
peterpak;-;Peter Pack-Rat;YES;NO;Atari Games;-;-;1984;
phantom2;-;Phantom II;YES;NO;Midway;-;-;1979;
pignewt;-;Pig Newton (version C);YES;NO;Sega;-;-;1983;
pigout;-;Pigout;YES;NO;Leland Corp.;-;-;1990;
piratetr;-;Pirate Treasure;YES;NO;Tong Electronic;-;-;1982;
platoon;-;Vs. Platoon;YES;NO;Ocean Software Limited;-;-;1987;
playch10;-;PlayChoice-10;YES;NO;Nintendo of America;-;-;1986;
plygonet;-;Polygonet Commanders (ver UAA);YES;NO;Konami;-;-;1993;
polaris;-;Polaris (set 1);YES;NO;Taito;-;-;1980;
polepos;-;Pole Position;YES;NO;Namco;-;-;1982;
polepos2;-;Pole Position II;YES;NO;Namco;-;polepos;1983;
policetr;-;Police Trainer (Rev 1.3);YES;NO;PandP Marketing;-;-;1996;
polyplay;-;Poly-Play;YES;NO;VEB Polytechnik Karl-Marx-Stadt;-;-;1985;
ponchin;-;Mahjong Pon Chin Kan (Japan set 1);YES;NO;Visco;-;-;1991;
poolshrk;-;Poolshark;YES;NO;Atari;-;-;1977;
portrait;-;Portraits;YES;NO;Olympia;-;-;1983;
powrplay;-;Power Play;YES;NO;Cinematronics;-;-;1985;
prikura;-;Princess Clara Daisakusen;YES;NO;Atlus;stvbios;-;1996;
primglex;-;Prime Goal EX (PG1-VER.A);YES;NO;Namco;-;-;1996;
primrag2;-;Primal Rage 2;YES;NO;Atari;-;-;1996;
primrage;-;Primal Rage (version 2.3);YES;NO;Atari Games;-;-;1994;
prmrsocr;-;Premier Soccer (Europe ver. EAB);YES;NO;Konami;-;-;1993;
profpac;-;Professor PacMan;YES;NO;Bally Midway;-;-;1983;
propcycl;-;Prop Cycle (Rev PR2 Ver.A);YES;NO;Namco;-;-;1996;
prosoccr;-;Pro Soccer;YES;NO;Data East Corporation;-;-;1983;
prosport;-;Prosport;YES;NO;Data East Corporation;-;-;1983;
psailor1;-;Bishoujo Janshi Pretty Sailor 18-kin (Japan);YES;NO;SPHINX;-;-;1994;
psailor2;-;Bishoujo Janshi Pretty Sailor 2 (Japan);YES;NO;SPHINX;-;-;1994;
pstadium;-;Mahjong Panic Stadium (Japan);YES;NO;Nichibutsu;-;-;1990;
psyforce;-;Psychic Force (JAPAN);YES;NO;Taito;taitofx1;-;1995;
puckpkmn;-;Puckman Pockimon;YES;NO;Genie;-;-;2000;
pulsar;-;Pulsar;YES;NO;Sega;-;-;1981;
puyopuyo;-;Puyo Puyo (Japan);YES;NO;Sega / Compile;-;-;1992;
puyosun;-;Puyo Puyo Sun;YES;NO;Compile;stvbios;-;1996;
puzldama;-;Taisen Puzzle-dama (ver JAA);YES;NO;Konami;konamigx;-;1994;
qmhayaku;-;Quiz-Mahjong Hayaku Yatteyo! (Japan);YES;NO;Nichibutsu;-;-;1991;
qtono2;-;Quiz Tonosama no Yabou 2 Zenkoku-ban (Japan 950123);YES;NO;Capcom;-;-;1995;
quarterb;-;Quarterback;YES;NO;Leland Corp.;-;-;1987;
quiz365;-;Quiz 365 (Hong Kong and Taiwan);YES;NO;Nakanihon;-;-;1994;
quizchq;-;Quiz Channel Question (Ver 1.00) (Japan);YES;NO;Nakanihon;-;-;1993;
quizdna;-;Quiz DNA no Hanran (Japan);YES;NO;Face;-;-;1992;
quizpani;-;Quiz Panicuru Fantasy;YES;NO;NMK;-;-;1993;
quiztvqq;-;Quiz TV Gassyuukoku QandQ (Japan);YES;NO;Dynax;-;-;1992;
qwak;-;Qwak (prototype);YES;NO;Atari;-;-;1982;
r2dtank;-;R2D Tank;YES;NO;Sigma Enterprises Inc.;-;-;1980;
racedriv;-;Race Drivin' (cockpit, rev 5);YES;NO;Atari Games;-;-;1990;
racinfrc;-;Racin' Force (ver UAB);YES;NO;Konami;konamigx;-;1994;
racoon;-;Racoon World;YES;NO;Eolith;-;-;19??;
radarzon;-;Radar Zone;YES;NO;Century Electronics;cvs;-;1982;
rainbow;-;Rainbow Islands (new version);YES;NO;Taito Corporation;-;-;1987;
raveracw;-;Rave Racer (Rev. RV2, World);YES;NO;Namco;-;-;1995;
raystorm;-;Ray Storm (JAPAN);YES;NO;Taito;taitofx1;-;1996;
rbibb;-;Vs. Atari R.B.I. Baseball (set 1);YES;NO;Namco;-;-;1986;
realbrk;-;Billiard Academy Real Break (Japan);YES;NO;Nakanihon;-;-;1998;
redalert;-;Red Alert;YES;NO;Irem + GDI;-;-;1981;
redlin2p;-;Redline Racer (2 players);YES;NO;Cinematronics (Tradewest license);-;-;1987;
reikaids;-;Reikai Doushi (Japan);YES;NO;Home Data;-;-;1988;
renaiclb;-;Mahjong Ren-ai Club (Japan);YES;NO;FUJIC;-;-;1993;
rescraid;-;Rescue Raider;YES;NO;Bally/Midway;-;-;1987;
ridger2j;-;Ridge Racer 2 (Rev. RRS1, Japan);YES;NO;Namco;-;-;1994;
ridgeraj;-;Ridge Racer (Rev. RR1, Japan);YES;NO;Namco;-;-;1993;
rimrockn;-;Rim Rockin' Basketball (V2.2);YES;NO;Strata/Incredible Technologies;-;-;1991;
ripcord;-;Rip Cord;YES;NO;Exidy;-;-;1979;
