name;bios;description;is_parent;manufacturer;sample;year
tdpgal;-;Triple Draw Poker;NO;Design Labs / Thomas Automatics;-;1983;
tetrsark;-;Tetris (D.R. Korea);NO;D.R. Korea;-;198?;
theglad;pgm;The Gladiator - Road Of The Sword / Shen Jian (V101, China);NO;IGS;-;2003;
timescan;-;Time Scanner (set 2, System 16B);NO;Sega;-;1987;
timesup;neogeo;Time's UP!;NO;NGF Dev. Inc.;-;2012;
tnextspc;-;The Next Space (set 1);NO;SNK;-;1989;
tomagic;-;Tom Tom Magic;NO;Hobbitron T.K.Trading Co. Ltd.;-;1997;
topshoot;-;Top Shooter;NO;Sun Mixing;-;1993;
totc;neogeo;Treasure of the Caribbean;NO;FACE Corporation / N.C.I - Le Cortex;-;2011;
toyland;-;Toy Land Adventure;NO;SemiCom;-;2001;
trvmstr;-;Trivia Master (set 1);NO;Enerdyne Technologies Inc.;-;1985;
twcup90;ym2608;World Cup '90 (World, set 1);NO;Tecmo;-;1989;
twinadv;-;Twin Adventure (World);NO;Barko Corp;-;1995;
twinbrat;-;Twin Brats (set 1);NO;Elettronica Video-Games S.R.L.;-;1995;
twinfalc;-;Twin Falcons;NO;Philko (Poara Enterprises license);-;1989;
twinsqua;-;Twin Squash;NO;Sega;-;1991;
twsoc96;neogeo;Tecmo World Soccer '96;NO;Tecmo;-;1996;
ultracin;-;Waku Waku Ultraman Racing;NO;Sega;-;1996;
unclepoo;-;Uncle Poo;NO;Diatec;-;1983;
usgames;-;Games V25.4X;NO;U.S. Games;-;1992;
victoryc;-;Victory (Comsoft);NO;Comsoft;-;1982;
vidvince;-;Video Vince and the Game Factory (prototype);NO;Mylstar;-;1984;
viprp1;-;Viper Phase 1 (New Version, World);NO;Seibu Kaihatsu;-;1995;
vliner;neogeo;V-Liner (v0.7a);NO;Dyna / BreezaSoft;-;2001;
vsbattlecity;-;VS. Battle City;NO;Namco;-;1985;
vscastlevania;-;VS. Castlevania;NO;Konami;-;1987;
vsclucluland;-;VS. Clu Clu Land;NO;Nintendo;-;1984;
vsdrmario;-;VS. Dr. Mario;NO;Nintendo;-;1990;
vsduckhunt;-;VS. Duck Hunt;NO;Nintendo;-;1984;
vsexcitebike;-;VS. Excitebike;NO;Nintendo;-;1985;
vsfreedomforce;-;VS. Freedom Force;NO;Sunsoft;-;1988;
vsgoonies;-;VS. Goonies, The;NO;Konami;-;1986;
vsgradius;-;VS. Gradius;NO;Konami;-;1986;
vsgumshoe;-;VS. Gumshoe;NO;Nintendo;-;1986;
vshogansalley;-;VS. Hogan's Alley;NO;Nintendo;-;1985;
vsiceclimber;-;VS. Ice Climber;NO;Nintendo;-;1985;
vsmachrider;-;VS. Mach Rider;NO;Nintendo;-;1985;
vsmightybomjack;-;VS. Mighty Bomb Jack;NO;Tecmo;-;1986;
vsninjajkun;-;VS. Ninja Jajamaru-kun;NO;Jaleco;-;1986;
vspinball;-;VS. Pinball;NO;Nintendo;-;1984;
vsplatoon;-;VS. Platoon;NO;Sunsoft;-;1988;
vsraidbbay;-;VS. Raid on Bungling Bay;NO;Broderbund;-;1985;
vsrbibbal;-;VS. Atari RBI Baseball;NO;Nintendo;-;1987;
vssmb;-;VS. Super Mario Bros;NO;Nintendo;-;1986;
vssmgolf;-;VS. Stroke & Match Golf;NO;Nintendo;-;1984;
vssmgolfla;-;VS. Stroke & Match Golf Ladies;NO;Nintendo;-;1984;
vsstarluster;-;VS. Star Luster;NO;Namco;-;1985;
vssuperskykid;-;VS. Super Sky Kid;NO;Namco;-;1986;
vssuperxevious;-;VS. Super Xevious - Gump no Nazo;NO;Namco;-;1986;
vstkoboxing;-;VS. TKO Boxing;NO;Data East;-;1987;
vstopgun;-;VS. Top Gun;NO;Konami;-;1987;
watrball;-;Water Balls;NO;ABM;-;1996;
wcbowldx;-;World Class Bowling Deluxe (v2.00);NO;Incredible Technologies;-;1999;
wiggie;-;Wiggie Waggie;NO;Promat;-;1994;
wildplt;-;Wild Pilot;NO;Jaleco;-;1992;
wivernwg;-;Wivern Wings;NO;SemiCom;-;2001;
wizzquiz;-;Wizz Quiz (Konami version);NO;Zilec-Zenitone (Konami license);-;1985;
wlstar;-;Wonder League Star - Sok-Magicball Fighting (Korea);NO;Mijin;-;1995;
wondl96;-;Wonder League '96 (Korea);NO;SemiCom;-;1995;
wondstck;-;Wonder Stick (set 1);NO;Yun Sung;-;????;
woodpeck;-;Woodpecker (set 1);NO;Amenip (Palcom Queen River);-;1981;
worldadv;-;World Adventure;NO;Logic / F2 System;-;1999;
wownfant;-;WOW New Fantasia;NO;Comad;-;2002;
wpksocv2;-;World PK Soccer V2 (ver 1.1);NO;Jaleco;-;1996;
wwallyj;-;Wally wo Sagase! (rev B, Japan, 2 players, FD1094 317-0197B);NO;Sega;-;1992;
wwmarine;-;Waku Waku Marine;NO;Sega;-;1992;
wyvernf0;-;Wyvern F-0 (Rev 1);NO;Taito Corporation;-;1985;
x2222;-;X2222 (final debug?);NO;Oriental Soft / Promat;-;2000;
ym2608;-;YM2608 Internal ROM;NO;Yamaha;-;1989;
yukon;-;Yukon (version 2.0);NO;Exidy;-;1989;
zeroteam;-;Zero Team USA (set 1, US, Fabtek license);NO;Seibu Kaihatsu;-;1993;
zipzap;-;Zip & Zap;NO;Barko Corp;-;1995;
