name;bios;description;is_parent;manufacturer;sample;year
diggerma;neogeo;Digger Man;NO;Kyle Hodgetts;-;2000;
discoboy;-;Disco Boy;NO;Soft Art Co.;-;1993;
divebomb;-;Kyuukoukabakugekitai - Dive Bomber Squad (Japan, prototype);NO;Konami;-;1989;
dmnfrnt;pgm;Demon Front (M105XX, S105XX);NO;IGS;-;2002;
dokaben2;-;Dokaben 2 (Japan);NO;Capcom;-;1989;
dquizgo;-;Date Quiz Go Go (Korea);NO;SemiCom;-;1998;
dquizgo2;-;Date Quiz Go Go Episode 2;NO;SemiCom;-;2000;
dragonsh;neogeo;Dragon's Heaven (development board);NO;Face;-;1996;
dreambal;-;Dream Ball (Japan V2.4);NO;NDK / Data East;-;1993;
drgw2;pgm;Dragon World II (V110X, World);NO;IGS;-;1997;
drgw3;pgm;Dragon World 3 (V106, China);NO;IGS;-;1998;
drtomy;-;Dr. Tomy;NO;Playmark;-;1993;
dsmbl;-;Deathsmiles MegaBlack Label (2008/10/06 MEGABLACK LABEL VER);NO;Cave (AMI license);-;2008;
dtfamily;-;Diet Family;NO;SemiCom;-;2001;
dw2001;pgm;Dragon World 2001 (V100, Japan);NO;IGS (Alta Co., LTD License);-;2001;
dwex;pgm;Dragon World 3 EX (V100, World);NO;IGS;-;1998;
dwpc;pgm;Dragon World Pretty Chance (V110, China);NO;IGS;-;2001;
dynabomb;-;Dynamite Bomber (Korea, Rev 1.5);NO;Limenko;-;2000;
dynwar;-;Dynasty Wars (US set 1);NO;Capcom;-;1989;
efdt;-;El Fin Del Tiempo;NO;Niemer;-;1981;
egghunt;-;Egg Hunt;NO;Invi Image;-;1995;
ejanhs;-;E Jong High School (Japan);NO;Seibu Kaihatsu;-;1996;
ejsakura;-;E-Jan Sakurasou (Japan, SYS386F V2.0);NO;Seibu Kaihatsu;-;1999;
enmadaio;-;Enma Daio (Japan);NO;Toaplan / Taito;-;1993;
espgal2;-;Espgaluda II (2005/11/14 MASTER VER, newer CV1000-B PCB);NO;Cave (AMI license);-;2005;
excelsr;-;Excelsior (set 1);NO;Playmark;-;1996;
explbrkr;-;Explosive Breaker (World);NO;Kaneko;-;1992;
fantasyu;-;Fantasy (US);NO;SNK (Rock-Ola license);fantasy;1981;
fball;-;Fire Ball (FM Work);NO;FM Work;-;1992;
feversos;-;Fever SOS (International, ver. 98/09/25);NO;Cave / Nihon System inc.;-;1998;
fghtbskt;-;Fighting Basketball;NO;Paradise Co. Ltd.;-;1984;
finalgdr;-;Final Godori (Korea, version 2.20.5915);NO;SemiCom;-;2001;
firebeas;-;Firebeast (prototype);NO;Atari;-;1983;
flipjack;-;Flipper Jack;NO;Jackson Co., Ltd.;-;1983;
fort2b;-;Fortress 2 Blue Arcade (World) (ver 1.01 / pcb ver 3.05);NO;Eolith;-;2001;
froman2b;neogeo;Idol Mahjong - final romance 2 (Neo CD Conversion);NO;hack;-;1995;
fsoccer;-;Fighting Soccer (version 4);NO;SNK;-;1988;
futari15;-;Mushihime-Sama Futari Ver 1.5 (2006/12/8.MASTER VER. 1.54.);NO;Cave (AMI license);-;2006;
futaribl;-;Mushihime-Sama Futari Black Label - Another Ver (2009/11/27 INTERNATIONAL BL);NO;Cave (AMI license);-;2007;
galastrm;-;Galactic Storm (Japan);NO;Taito Corporation;-;1992;
galpani3;-;Gals Panic 3 (Euro);NO;Kaneko;-;1995;
galpans3;skns;Gals Panic S3 (Japan);NO;Kaneko;-;2002;
ganbare;-;Ganbare! Marine Kun (Marine 2K0411 JPN);NO;Capcom;-;2000;
garogun;-;Garogun Seroyang (Korea);NO;Yun Sung;-;2000;
gekiridn;-;Gekirindan (Ver 2.3O 1995/09/21);NO;Taito Corporation;-;1995;
gforce2;-;Galaxy Force 2;NO;Sega;-;1988;
gigas;-;Gigas (MC-8123, 317-5002);NO;SEGA;-;1986;
gigasm2;-;Gigas Mark II (MC-8123, 317-5002);NO;SEGA;-;1986;
gloc;-;G-LOC Air Battle (World);NO;Sega;-;1990;
go2000;-;Go 2000;NO;SunA?;-;2000;
goori;-;Goori Goori;NO;Unico;-;1999;
gprider;-;GP Rider (World, FD1094 317-0163) (Twin setup);NO;Sega;-;1990;
grainbow;-;SD Gundam Sangokushi Rainbow Tairiku Senki (Japan);NO;Banpresto;-;1993;
grasspin;-;Grasspin;NO;[Zilec Electronics] Jaleco;-;1983;
grdian;-;Guardian (US);NO;Toaplan / Taito America Corporation (Kitkorp license);-;1986;
gslugrsj;namcoc75;Great Sluggers (Japan);NO;Namco;-;1993;
gstream;-;G-Stream G2020;NO;Oriental Soft Japan;-;2002;
hamaway;-;Hammer Away (prototype);NO;Sega / Santos;-;1992;
happy6;pgm;Happy 6-in-1 (V102 - V101MK, China);NO;IGS;-;2004;
harem;-;Harem;NO;I.G.R.;-;1983;
hayaosi2;-;Hayaoshi Quiz Grand Champion Taikai;NO;Jaleco;-;1994;
hayaosi3;-;Hayaoshi Quiz Nettou Namahousou (ver 1.5);NO;Jaleco;-;1994;
heuksun;-;Heuk Sun Baek Sa (Korea);NO;Oksan / F2 System;-;199?;
hidctch2;-;Hidden Catch 2 (pcb ver 3.03) (Kor/Eng) (AT89c52 protected);NO;Eolith;-;1999;
hidctch3;-;Hidden Catch 3 (ver 1.00 / pcb ver 3.05);NO;Eolith;-;2000;
hidnc2k;-;Hidden Catch 2000 (AT89c52 protected);NO;Eolith;-;1999;
himesiki;-;Himeshikibu (Japan);NO;Hi-Soft;-;1989;
honeydol;-;Honey Doll;NO;Barko Corp;-;1995;
hotgm4ev;-;Taisen Hot Gimmick 4 Ever (Japan);NO;Psikyo;-;2000;
hotgmcki;-;Mahjong Hot Gimmick Integral (Japan);NO;Psikyo;-;2001;
hotmind;-;Hot Mind (Hard Times hardware);NO;Playmark;-;1996;
hvyunit;-;Heavy Unit (World);NO;Kaneko / Taito;-;1988;
ibara;-;Ibara (2005/03/22 MASTER VER..);NO;Cave (AMI license);-;2005;
ibarablk;-;Ibara Kuro Black Label (2006/02/06. MASTER VER.);NO;Cave (AMI license);-;2006;
ironfort;-;Iron Fortress;NO;Eolith;-;1998;
isgsm;-;ISG Selection Master Type 2006 System BIOS;NO;ISG;-;2006;
itaten;-;Itazura Tenshi (Japan);NO;Nichibutsu / Alice;-;1984;
janjans2;-;Lovely Pop Mahjong JangJang Shimasho 2 (Japan);NO;Visco;-;2000;
jchan2;-;Jackie Chan in Fists of Fire;NO;Kaneko;-;1995;
jin;-;Jin;NO;Falcon;-;1982;
jmpbreak;-;Jumping Break (set 1);NO;F2 System;-;1999;
jockeygp;neogeo;Jockey Grand Prix (set 1);NO;Sun Amusement / BrezzaSoft;-;2001;
joinem;-;Joinem;NO;Global Corporation;-;1983;
jojo;-;JoJo's Venture / JoJo no Kimyou na Bouken (Euro 990128);NO;Capcom;-;1998;
jojoba;-;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan (Euro 990927);NO;Capcom;-;1999;
jongpute;-;Jongputer;NO;Taito;-;1980;
jumppop;-;Jumping Pop (set 1);NO;ESD;-;2001;
jyangoku;-;Jyangokushi  -Haoh no Saihai- (990527 Japan);NO;Mitchell;-;1999;
kazan;-;Ninja Kazan (World);NO;Jaleco;-;1988;
keroppi;-;Kero Kero Keroppi's Let's Play Together (USA, Version 2.0);NO;American Sammy;-;1995;
kickboy;-;Kick Boy;NO;Nichibutsu;-;1983;
killbldp;pgm;The Killing Blade Plus (V300, China);NO;IGS;-;2005;
klondkp;-;KlonDike+;NO;Eolith;-;1999;
kokoroj;-;Soreike Kokology (Rev A);NO;Sega;-;1992;
kokoroj2;-;Soreike Kokology Vol. 2 - Kokoro no Tanteikyoku;NO;Sega;-;1993;
korokoro;-;Koro Koro Quest (Japan);NO;Takumi;-;1999;
kov2;pgm;Knights of Valour 2 (V107, Hong Kong);NO;IGS;-;2000;
kov2p;pgm;Knights of Valour 2 Plus - Nine Dragons (VM205XX, China);NO;IGS;-;2001;
kovshp;pgm;Knights of Valour Super Heroes Plus / Sangoku Senki Super Heroes Plus (V101);NO;IGS;-;2004;
kovytzy;pgm;Knights of Valour: Yi Tong Zhong Yuan / Sangoku Senki: Yi Tong Zhong Yuan (V201, China);NO;IGS;-;1999;
kozure;-;Kozure Ookami (Japan);NO;Nichibutsu;-;1987;
ksayakyu;-;Kusayakyuu;NO;Taito Corporation;-;1985;
ladymstr;-;Lady Master of Kung Fu (set 1, newer);NO;Kaneko / Taito;-;1985;
lastkm;-;Last KM (ver 1.0.0275, checksum 13bff751, prototype);NO;Gaelco / Zeus;-;1995;
lastsurv;-;Last Survivor (FD1094 317-0083);NO;Sega;-;1987;
lazybug;-;Lazy Bug;NO;David Widel;-;1981;
legendoh;-;Legend of Heroes;NO;Limenko;-;2000;
lhcdb;neogeo;Last Hope CD Beta (Neo CD conversion);NO;NG:Dev.Team;-;2007;
linkypip;-;Linky Pipe;NO;Eolith;-;1998;
livequiz;-;Live Quiz Show;NO;Andamiro Entertainment Co. Ltd.;-;1999;
lockonph;-;Lock On (Philko);NO;Philco;-;1991;
lordgun;-;Lord of Gun (USA);NO;IGS;-;1994;
loverboy;-;Lover Boy;NO;G.T Enterprise Inc;-;1983;
ltswords;-;Lightning Swords;NO;Irem;-;1991;
luckboom;-;Lucky Boom;NO;Playmark;-;1996;
luctoday;-;Lucky Today;NO;Sigma;-;1980;
magerror;-;Magical Error wo Sagase;NO;Technosoft / Jaleco;-;1994;
magicstk;-;Magic Sticks;NO;Playmark;-;1995;
mangchi;-;Mang-Chi;NO;Afega;-;2000;
