name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
ad2083;A.D. 2083 [Incomplete Sound];1983;Midcoin;YES;-;NO;-;-;
bongo;Bongo;1983;Jetsoft;YES;-;NO;-;-;
bullet;Bullet (FD1094 317-0041);1987;Sega;YES;-;NO;-;-;
calorie;Calorie Kun vs Moguranian;1986;Sega;YES;-;NO;-;-;
chanbara;Chanbara;1985;Data East;YES;-;NO;-;-;
dambustr;Dambusters (US, set 1);1981;South West Research;YES;-;NO;-;-;
jpopnics;Jumping Pop (Nics, Korean bootleg of Plump Pop);1992;Nics;YES;-;NO;-;-;
ladymstr;Lady Master of Kung Fu;1985;Kaneko / Taito;YES;-;NO;-;-;
lordgun;Lord of Gun (USA) [Imperfect graphics and sound];1994;IGS;YES;-;NO;-;-;
mwarr;Mighty Warriors;199?;Elettronica Video-Games S.R.L.;YES;-;NO;-;-;
robowres;Robo Wres 2001;1986;Sanritsu / Sega;YES;-;NO;-;-;
schmeisr;Schmeiser Robo (Japan);1993;Hot-B;YES;-;NO;-;-;
scessjoe;Success Joe (World) [Incomplete sound];1990;Taito Corporation / Wave;YES;-;NO;-;-;
thoop;Thunder Hoop (Ver. 1);1992;Gaelco;YES;-;NO;-;-;
twinfalc;Twin Falcons;1989;Philko (Poara Enterprises license);YES;-;NO;-;-;
zintrckb;Zintrick / Oshidashi Zentrix (hack / bootleg) [Bootleg];1996;hack / bootleg;YES;neogeo;NO;-;-;
