name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
agress;Agress;1991;Palco;YES;-;NO;-;-;
airattck;Air Attack (set 1);1996;Comad;YES;-;NO;-;-;
aliensec;Alien Sector;1985;Namco;YES;-;NO;-;-;
bestbest;Best Of Best;1994;SunA;YES;-;NO;-;-;
bombkick;Bomb Kick (set 1);1998;Yun Sung;YES;-;NO;-;-;
canvas;Canvas Croquis;1985;SNK;YES;-;NO;-;-;
chokchok;Choky! Choky!;1995;SemiCom;YES;-;NO;-;-;
combh;Combat Hawk;1987;Sega / Sanritsu;YES;-;NO;-;-;
commandw;Command War - Super Special Battle & War Game (Ver 0.0J) (Prototype) [Prototype];1992;Taito Corporation;YES;-;NO;-;-;
cookbib;Cookie & Bibi (set 1);1995;SemiCom;YES;-;NO;-;-;
cookbib3;Cookie & Bibi 3;1997;SemiCom;YES;-;NO;-;-;
deerhunt;Deer Hunting USA V4.3;2000;Sammy USA Corporation;YES;-;NO;-;-;
diggerma;Digger Man [Homebrew];2000;Kyle Hodgetts;YES;neogeo;NO;-;-;
drgnbowl;Dragon Bowl;1992;Nics;YES;-;NO;-;-;
egghunt;Egg Hunt;1995;Invi Image;YES;-;NO;-;-;
explbrkr;Explosive Breaker;1992;Kaneko;YES;-;NO;-;-;
fsoccer;Fighting Soccer (version 4);1988;SNK;YES;-;NO;-;-;
finalttr;Final Tetris;1993;Jeil Computer System;YES;-;NO;-;-;
flytiger;Flying Tiger (set 1);1992;Dooyong;YES;-;NO;-;-;
hotmind;Hot Mind (Hard Times hardware);1996;Playmark;YES;-;NO;-;-;
hcrash;Hyper Crash (version D);1987;Konami;YES;-;NO;-;-;
jchan2;Jackie Chan in Fists of Fire;1995;Kaneko;YES;-;NO;-;-;
joinem;Joinem;1986;Global Corporation;YES;-;NO;-;-;
kbash2;Knuckle Bash 2 (bootleg) [Bootleg];1999;bootleg;YES;-;NO;-;-;
korokoro;Koro Koro Quest (Japan);1999;Takumi;YES;-;NO;-;-;
matchit2;Match It II;1993;Tamtex;YES;-;NO;-;-;
megablst;Mega Blast (World);1989;Taito Corporation Japan;YES;-;NO;-;-;
merlinmm;Merlins Money Maze;1986;Zilec-Zenitone;YES;-;NO;-;-;
metlsavr;Metal Saver;1994;First Amusement;YES;-;NO;-;-;
mirax;Mirax (set 1);1985;Current Technologies;YES;-;NO;-;-;
mstworld;Monsters World (bootleg of Super Pang);1994;bootleg (TCH);YES;-;NO;-;-;
kazan;Ninja Kazan (World);1988;Jaleco;YES;-;NO;-;-;
racknrol;Rack + Roll;1986;Status (Shinkai License);YES;-;NO;-;-;
rchase;Rail Chase (World);1991;Sega;YES;-;NO;-;-;
reaktor;Reaktor (Track & Field conversion);1987;Zilec;YES;-;NO;-;-;
riot;Riot;1992;NMK;YES;-;NO;-;-;
scotrsht;Scooter Shooter;1985;Konami;YES;-;NO;-;-;
sdfight;SD Fighters (Korea);1996;SemiCom;YES;-;NO;-;-;
snapper;Snapper (Korea);1990;Philko;YES;-;NO;-;-;
sonicbom;Sonic Boom (FD1094 317-0053);1987;Sega;YES;-;NO;-;-;
sub;Submarine (Sigma);1985;Sigma Enterprises Inc.;YES;-;NO;-;-;
suprridr;Super Rider;1983;Taito Corporation (Venture Line license);YES;-;NO;-;-;
suprtrio;Super Trio;1994;Gameace;YES;-;NO;-;-;
swatpolc;SWAT Police;2001;ESD;YES;-;NO;-;-;
tetrsark;Tetris (D.R. Korea) [Wrong colors];198?;D.R. Korea;YES;-;NO;-;-;
tetrisse;Tetris (Japan, System E);1988;Sega;YES;-;NO;-;-;
theglad;The Gladiator - Road Of The Sword / Shen Jian (V101) [Incomplete Dump];2003;IGS;YES;pgm;NO;-;-;
theroes;Thunder Heroes;2001;Primetec Investments;YES;-;NO;-;-;
toppyrap;Toppy & Rappy;1996;SemiCom;YES;-;NO;-;-;
twinactn;Twin Action;1995;Afega;YES;-;NO;-;-;
twinadv;Twin Adventure (World);1995;Barko Corp;YES;-;NO;-;-;
twinkle;Twinkle;1997;SemiCom;YES;-;NO;-;-;
watrball;Water Balls;1996;ABM;YES;-;NO;-;-;
wheelrun;Wheels Runner;19??;International Games;YES;-;NO;-;-;
wondl96;Wonder League '96 (Korea);1995;SemiCom;YES;-;NO;-;-;
wlstar;Wonder League Star - Sok-Magicball Fighting (Korea);1995;Mijin;YES;-;NO;-;-;
