name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
ghostlop;Ghostlop (prototype) [Prototype];1996;Data East Corporation;YES;neogeo;NO;-;-;
martmast;Martial Masters (V104, 102, 102, USA);2001;IGS;YES;pgm;NO;-;-;
matrim;Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660) (NGH-2660);2002;Noise Factory / Atlus;YES;neogeo;NO;-;-;
mslug4;Metal Slug 4 (NGM-2630);2002;Mega;YES;neogeo;NO;-;-;
ms5pcb;Metal Slug 5 (JAMMA PCB);2003;SNK Playmore;YES;-;NO;-;-;
mslug5;Metal Slug 5 (NGM-2680);2003;SNK Playmore;YES;neogeo;NO;-;-;
mpang;Mighty! Pang (001010 Euro);2000;Mitchell;YES;-;NO;-;-;
mmaulers;Monster Maulers (ver EAA);1993;Konami;YES;-;NO;-;-;
nob;Noboranka (Japan);1986;Data East Corporation;YES;-;NO;-;-;
pnyaa;Pochi and Nyaa;2003;Aiky / Taito;YES;neogeo;NO;-;-;
pdrift;Power Drift (World, Rev A) [Select Auto-Center preset in Input Configuration];1988;Sega;YES;-;NO;-;-;
progear;Progear (010117 USA);2001;Capcom / Cave;YES;-;NO;-;-;
pzloop2;Puzz Loop 2 (010302 Euro);2001;Mitchell, distritued by Capcom;YES;-;NO;-;-;
rachero;Racing Hero (FD1094 317-0144);1989;Sega;YES;-;NO;-;-;
rotd;Rage of the Dragons (NGM-264?);2002;Evoga / Playmore;YES;neogeo;NO;-;-;
recalh;Recalhorn (Ver 1.42J 1994/5/11) (Prototype) [Prototype];1994;Taito Corporation;YES;-;NO;-;-;
redearth;Red Earth / War-Zard (Euro 961121);1996;Capcom;YES;-;NO;-;-;
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);2003;Yuki Enterprise / SNK Playmore;YES;neogeo;NO;-;-;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);2004;Yuki Enterprise / SNK Playmore;YES;neogeo;NO;-;-;
svcpcb;SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 1);2003;SNK Playmore;YES;-;NO;-;-;
svc;SNK vs. Capcom - SVC Chaos (NGM-2690)(NGH-2690);2003;SNK Playmore;YES;neogeo;NO;-;-;
sf;Street Fighter (US, set 1);1987;Capcom;YES;-;NO;-;-;
sf2hf;Street Fighter II' - Hyper Fighting (street fighter 2' T 921209 ETC);1992;Capcom;YES;-;NO;-;-;
sfiii2;Street Fighter III 2nd Impact: Giant Attack (USA 970930);1997;Capcom;YES;-;NO;-;-;
sfiii3;Street Fighter III 3rd Strike: Fight for the Future (Euro 990608);1999;Capcom;YES;-;NO;-;-;
sfiii;Street Fighter III: New Generation (Euro 970204);1997;Capcom;YES;-;NO;-;-;
tgm2;Tetris the Absolute The Grand Master 2;2000;Arika;YES;-;NO;-;-;
kof2002;The King of Fighters 2002 (NGM-2650)(NGH-2650);2002;Eolith / Playmore;YES;neogeo;NO;-;-;
kof2003;The King of Fighters 2003 (NGM-2710);2003;SNK Playmore;YES;neogeo;NO;-;-;
