name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
agress;Agress;1991;Palco;YES;-;NO;-;-
agressb;Agress (English bootleg);2003;Palco;NO;agress;YES;agress;-
airass;Air Assault (World);1993;Irem;YES;-;NO;-;-
airattck;Air Attack (set 1);1996;Comad;YES;-;NO;-;-
airattcka;Air Attack (set 2);1996;Comad;NO;airattck;YES;airattck;-
airbustrb;Air Buster: Trouble Specialty Raid Unit (bootleg) [Bootleg];1990;bootleg;NO;airbustr;YES;airbustr;-
airbustrj;Air Buster: Trouble Specialty Raid Unit (Japan);1990;Kaneko (Namco license);NO;airbustr;YES;airbustr;-
airduelm72;Air Duel (Japan, M72);1990;Irem;NO;airduel;YES;airduel;-
airwolfa;Airwolf (US);1987;Kyugo (United Amusements license);NO;airwolf;YES;airwolf;-
akumajou;Akuma-Jou Dracula (Japan ver. P);1988;Konami;NO;hcastle;YES;hcastle;-
akumajoun;Akuma-Jou Dracula (Japan ver. N);1988;Konami;NO;hcastle;YES;hcastle;-
alexkidd1;Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown);1986;Sega;NO;alexkidd;YES;alexkidd;-
alibabab;Mustafa and 40 Thieves (bootleg);1982;bootleg;NO;alibaba;YES;alibaba;-
aliencha;Alien Challenge (World) [Imperfect sound];1994;IGS;YES;-;NO;-;-
alienchac;Alien Challenge (China) [Imperfect sound];1994;IGS;NO;aliencha;YES;aliencha;-
aliens3;Aliens (World set 3);1990;Konami;NO;aliens;YES;aliens;-
aliensa;Aliens (Asia);1990;Konami;NO;aliens;YES;aliens;-
aliensec;Alien Sector;1985;Namco;YES;-;NO;-;-
aliensj2;Aliens (Japan set 2);1990;Konami;NO;aliens;YES;aliens;-
aliensyn2;Alien Syndrome (set 2, System 16A, FD1089A 317-0033);1987;Sega;NO;aliensyn;YES;aliensyn;-
aliensyn3;Alien Syndrome (set 3, System 16B, FD1089A 317-0033);1987;Sega;NO;aliensyn;YES;aliensyn;-
aliensyn5;Alien Syndrome (set 5, System 16A, FD1089B 317-0037);1987;Sega;NO;aliensyn;YES;aliensyn;-
aliensyn7;Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx);1987;Sega;NO;aliensyn;YES;aliensyn;-
aliensynj;Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033);1987;Sega;NO;aliensyn;YES;aliensyn;-
aliensynjo;Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033);1987;Sega;NO;aliensyn;YES;aliensyn;-
aligatorun;Alligator Hunt (unprotected);1994;Gaelco;NO;aligator;YES;aligator;-
alinvade;Alien Invaders [preliminary sound];198?;Forbes?;YES;-;NO;-;-
alpham2p;Alpha Mission II / ASO II - Last Guardian (prototype) [Prototype];1991;SNK;NO;alpham2;YES;alpham2;-
alphamis;Alpha Mission;1985;SNK;NO;aso;YES;aso;-
altbeast2;Altered Beast (set 2, MC-8123B 317-0066);1988;Sega;NO;altbeast;YES;altbeast;-
altbeast4;Altered Beast (set 4, MC-8123B 317-0066);1988;Sega;NO;altbeast;YES;altbeast;-
altbeast5;Altered Beast (set 5, FD1094 317-0069);1988;Sega;NO;altbeast;YES;altbeast;-
altbeast5d;Altered Beast (set 5, FD1094 317-0069 decrypted) [Bootleg];1988;Sega;NO;altbeast;YES;altbeast;-
altbeast6;Altered Beast (set 6, 8751 317-0076);1988;Sega;NO;altbeast;YES;altbeast;-
altbeastj;Juuouki (set 7, Japan, 8751 317-0077);1988;Sega;NO;altbeast;YES;altbeast;-
altbeastj1;Juuouki (set 1, Japan, FD1094 317-0065);1988;Sega;NO;altbeast;YES;altbeast;-
altbeastj3;Juuouki (set 3, Japan, FD1094 317-0068);1988;Sega;NO;altbeast;YES;altbeast;-
altbeastj3d;Juuouki (set 3, Japan, FD1094 317-0068 decrypted) [Bootleg];1988;Sega;NO;altbeast;YES;altbeast;-
ambushh;Ambush (hack?);1983;Tecfri;NO;ambush;YES;ambush;-
ambushj;Ambush (Japan);1983;Nippon Amuse Co-Ltd;NO;ambush;YES;ambush;-
ambushv;Ambush (Volt Elec co-ltd);1983;Volt Elec co-ltd;NO;ambush;YES;ambush;-
amidar1;Amidar (older);1981;Konami;NO;amidar;YES;amidar;-
amidarb;Amidar (bootleg) [Bootleg];1982;bootleg;NO;amidar;YES;amidar;-
androidp;Android (prototype, later build);198?;Nasco;YES;-;NO;-;-
androidpo;Android (prototype, early build);198?;Nasco;NO;androidp;YES;androidp;-
anteaterg;Ameisenbaer (German);1983;TV-Tuning (F.E.G. license);NO;anteater;YES;anteater;-
anteateruk;The Anteater (UK);1983;Free Enterprise Games;NO;anteater;YES;anteater;-
